scheme,outer_fold,method,complexity,alpha,inner_r68,inner_r90,inner_n
file_mod5,0,raw,0,1.5,0.08124116545805109,0.1516124618064884,3642
file_mod5,0,dt_quad,3,1.5341274046343907,0.07647409899951324,0.14548012087532722,3642
file_mod5,0,r2_quad,3,0.75,0.06354824882822296,0.12565243487680466,3642
file_mod5,0,dt_r2_joint,6,0.75,0.06296244713715003,0.1285651208749566,3642
file_mod5,0,dt_then_r2,6,1.0,0.0641157688137116,0.12567821889707798,3642
file_mod5,0,r2_then_dt,6,0.75,0.06234816375593354,0.12330468965854638,3642
file_mod5,0,xy_quad,6,1.0,0.06862467772679053,0.13437838528419532,3642
file_mod5,0,dt_then_xy,9,1.0,0.06652398412641217,0.13161979399094856,3642
file_mod5,0,dt_r2_then_xy,12,0.42489062049196813,0.05951960788971153,0.11889458683667416,3642
file_mod5,1,raw,0,1.5,0.07940414255340413,0.1477372395056102,3589
file_mod5,1,dt_quad,3,1.5341274046343907,0.07418760662409177,0.14203600676646255,3589
file_mod5,1,r2_quad,3,1.0,0.06345246549945666,0.12369621912925403,3589
file_mod5,1,dt_r2_joint,6,1.0,0.06220269468744124,0.1216145417733641,3589
file_mod5,1,dt_then_r2,6,1.0,0.06235789943515225,0.12241862301556694,3589
file_mod5,1,r2_then_dt,6,0.75,0.06086640970128966,0.12042629882930843,3589
file_mod5,1,xy_quad,6,1.0,0.06686502913978223,0.13069498337405114,3589
file_mod5,1,dt_then_xy,9,1.0,0.06413651000814026,0.12722900132580314,3589
file_mod5,1,dt_r2_then_xy,12,0.42489062049196813,0.057414966088735586,0.11277992478960723,3589
file_mod5,2,raw,0,1.5,0.08001595044467705,0.148763853266574,3597
file_mod5,2,dt_quad,3,1.5,0.0753536207881697,0.1435491283802295,3597
file_mod5,2,r2_quad,3,0.75,0.06358342087068528,0.12479866217698786,3597
file_mod5,2,dt_r2_joint,6,0.75,0.062445616509671696,0.12619715121538622,3597
file_mod5,2,dt_then_r2,6,1.0,0.06391858238067093,0.12312840293815858,3597
file_mod5,2,r2_then_dt,6,0.75,0.06141758079921029,0.12309047691995055,3597
file_mod5,2,xy_quad,6,1.0,0.06735736155980188,0.13143885979661285,3597
file_mod5,2,dt_then_xy,9,1.0,0.06493752321831792,0.12899970167800942,3597
file_mod5,2,dt_r2_then_xy,12,0.42489062049196813,0.05925002943122861,0.11625500596119233,3597
file_mod5,3,raw,0,1.5,0.07954726341515617,0.14956705995026032,3609
file_mod5,3,dt_quad,3,1.5,0.07563735086384442,0.14310712779995322,3609
file_mod5,3,r2_quad,3,0.75,0.06365734132905099,0.12147004301715239,3609
file_mod5,3,dt_r2_joint,6,0.75,0.061745672369135626,0.12169180001398475,3609
file_mod5,3,dt_then_r2,6,1.0,0.06265900609627863,0.12128168867691846,3609
file_mod5,3,r2_then_dt,6,0.75,0.06099670878980524,0.11945820083220174,3609
file_mod5,3,xy_quad,6,1.0,0.06647586421049695,0.12916347316238785,3609
file_mod5,3,dt_then_xy,9,1.0,0.06430278532574887,0.1258197298439293,3609
file_mod5,3,dt_r2_then_xy,12,0.42489062049196813,0.05715124795469755,0.11208743628031834,3609
file_mod5,4,raw,0,1.5,0.08025698700012322,0.14743059924807717,3563
file_mod5,4,dt_quad,3,1.5,0.07557264121154529,0.14310877525280963,3563
file_mod5,4,r2_quad,3,0.75,0.06345292109572612,0.12340527871643009,3563
file_mod5,4,dt_r2_joint,6,0.75,0.06277330310542165,0.1270722109354795,3563
file_mod5,4,dt_then_r2,6,1.0,0.06375719690524848,0.12265759828097499,3563
file_mod5,4,r2_then_dt,6,0.75,0.0618095800656137,0.12206492454372213,3563
file_mod5,4,xy_quad,6,1.0,0.06776425909134401,0.12887428949014998,3563
file_mod5,4,dt_then_xy,9,1.0,0.06501726605011833,0.12505848234204897,3563
file_mod5,4,dt_r2_then_xy,12,0.42489062049196813,0.0583269524781122,0.11597237628957185,3563
file_block5,0,raw,0,1.5,0.07896854914084513,0.15108778101532797,3631
file_block5,0,dt_quad,3,1.5,0.07465859552776126,0.14388026009936974,3631
