scheme,candidate,outer_fold,inner_validation_fold,alpha,train_scale,validation_r68,validation_r90,validation_tail_beyond_2r68
file_mod5,A0_raw,0,1,0.1,0.9938052612717654,0.14658261268466555,0.27651815393801477,0.08232711306256861
file_mod5,A0_raw,0,1,0.15000000000000002,0.9967486557561007,0.13481153435933024,0.25358335171664703,0.08232711306256861
file_mod5,A0_raw,0,1,0.2,0.9953191255185316,0.12321805493429505,0.23051629401774432,0.08122941822173436
file_mod5,A0_raw,0,1,0.25,1.0103048993450687,0.11187421841955719,0.20755294294884863,0.08342480790340286
file_mod5,A0_raw,0,1,0.30000000000000004,1.0116071217931764,0.1012082932096045,0.19076445334287861,0.08122941822173436
file_mod5,A0_raw,0,1,0.35,1.006211380052138,0.09571665383308653,0.17526770810335845,0.07135016465422613
file_mod5,A0_raw,0,1,0.4,1.0080476239696339,0.09018528418100141,0.16635838444787876,0.06695938529088913
file_mod5,A0_raw,0,1,0.45000000000000007,1.011319311286301,0.08655823787167105,0.15651523789427635,0.06695938529088913
file_mod5,A0_raw,0,1,0.5,1.0136346808680659,0.08157716129766929,0.15599688726911276,0.0801317233809001
file_mod5,A0_raw,0,1,0.55,1.0140827095626486,0.08049126460241884,0.15694946143598604,0.08562019758507135
file_mod5,A0_raw,0,1,0.6,1.013340600116997,0.08416285423198805,0.15748032091477382,0.0801317233809001
file_mod5,A0_raw,0,1,0.65,1.0112515157329285,0.09159249299453442,0.16346418261341844,0.08122941822173436
file_mod5,A0_raw,0,1,0.7000000000000001,1.0072340856581259,0.10034009872606847,0.17086318926503175,0.07903402854006586
file_mod5,A0_raw,0,1,0.75,1.0102042421700865,0.10857425055764669,0.18763819263716536,0.07683863885839737
file_mod5,A0_raw,0,1,0.8,1.0088950785184372,0.12204767175614506,0.204402687018525,0.06366630076838639
file_mod5,A0_raw,0,1,0.85,1.0066075192738695,0.13763183945658686,0.2222097627601366,0.059275521405049394
file_mod5,A0_raw,0,1,0.9,1.0046858608115028,0.15046350474961384,0.2414571137547319,0.054884742041712405
file_mod5,A0_raw,1,2,0.1,0.997056651699298,0.14646330844905636,0.2758392288064313,0.08859357696567
file_mod5,A0_raw,1,2,0.15000000000000002,1.0052071591015785,0.13412110816137912,0.2510972194625296,0.08637873754152824
file_mod5,A0_raw,1,2,0.2,1.002153664833347,0.12261627043189499,0.22860302293462997,0.08416389811738649
file_mod5,A0_raw,1,2,0.25,1.0051056434124273,0.1102308106530242,0.21158720186942126,0.08748615725359911
file_mod5,A0_raw,1,2,0.30000000000000004,1.0105327297866142,0.10087719648509758,0.18579627408520633,0.07419712070874862
file_mod5,A0_raw,1,2,0.35,1.012519976063781,0.09273079841335968,0.1663328015948874,0.07198228128460686
file_mod5,A0_raw,1,2,0.4,1.0125302608028903,0.08561497748570573,0.15597069064152658,0.07308970099667775
file_mod5,A0_raw,1,2,0.45000000000000007,1.0168139213130605,0.08339103719552876,0.14645949389163299,0.06090808416389812
file_mod5,A0_raw,1,2,0.5,1.0178350669780967,0.07915666343605487,0.13941956008080292,0.07308970099667775
file_mod5,A0_raw,1,2,0.55,1.0183134374328193,0.0778142216082306,0.14110091448523382,0.08084163898117387
file_mod5,A0_raw,1,2,0.6,1.018222792387796,0.0812545379608402,0.15271556976904954,0.08637873754152824
file_mod5,A0_raw,1,2,0.65,1.016381827018624,0.0841330607584696,0.1633035637755899,0.09302325581395349
file_mod5,A0_raw,1,2,0.7000000000000001,1.0145562267277355,0.09131256605369265,0.17489038038262295,0.09856035437430787
file_mod5,A0_raw,1,2,0.75,1.010711321574338,0.10243471944658705,0.19194809406610225,0.09191583610188261
file_mod5,A0_raw,1,2,0.8,1.0074704136959114,0.11497564507777103,0.20687057181637236,0.08305647840531562
file_mod5,A0_raw,1,2,0.85,1.0048585808552253,0.12944199939945622,0.22719578902625753,0.07419712070874862
file_mod5,A0_raw,1,2,0.9,1.0053656918201233,0.14268282748862832,0.25703905088099616,0.06866002214839424
file_mod5,A0_raw,2,3,0.1,1.002957612425498,0.16497888066147137,0.2975275675399672,0.07968574635241302
file_mod5,A0_raw,2,3,0.15000000000000002,1.0091136259824878,0.1508135887097825,0.2698841386603601,0.0819304152637486
file_mod5,A0_raw,2,3,0.2,0.9978647389225179,0.1325908057515766,0.24396751141089978,0.08754208754208755
file_mod5,A0_raw,2,3,0.25,1.0031532556489204,0.1205941152495133,0.22263638593152751,0.08305274971941638
file_mod5,A0_raw,2,3,0.30000000000000004,1.0081254188093751,0.11012016388181817,0.2009955512963021,0.07856341189674523
file_mod5,A0_raw,2,3,0.35,1.0151946242215277,0.1026048283213653,0.1804619522658203,0.07407407407407407
file_mod5,A0_raw,2,3,0.4,1.0170872766307675,0.09447010538802281,0.16920778732796382,0.07519640852974187
file_mod5,A0_raw,2,3,0.45000000000000007,1.020914340827109,0.08972504936459175,0.1544370826252256,0.06397306397306397
file_mod5,A0_raw,2,3,0.5,1.0228248729310274,0.08427226997493253,0.1515184179756059,0.06397306397306397
file_mod5,A0_raw,2,3,0.55,1.022227484232574,0.08201996276862028,0.14814533326294188,0.06734006734006734
file_mod5,A0_raw,2,3,0.6,1.020339803306815,0.08236811426666923,0.1477394672850666,0.07295173961840629
file_mod5,A0_raw,2,3,0.65,1.0187061498717331,0.0824505144635595,0.15619448569723887,0.07744107744107744
file_mod5,A0_raw,2,3,0.7000000000000001,1.0174308266145669,0.089923741105639,0.16747955791922736,0.08080808080808081
file_mod5,A0_raw,2,3,0.75,1.0112483493192856,0.10598747395576025,0.1850648656063878,0.06509539842873176
file_mod5,A0_raw,2,3,0.8,1.0071458345572073,0.11698712122365995,0.2029853351511266,0.06734006734006734
file_mod5,A0_raw,2,3,0.85,1.0047358865035756,0.1331877938374612,0.22045127567776168,0.06285072951739619
file_mod5,A0_raw,2,3,0.9,1.0028964567029122,0.14664191313372754,0.24584524537346275,0.06172839506172839
file_mod5,A0_raw,3,4,0.1,1.0039009763509905,0.15105406823537526,0.27993848395799265,0.08004268943436499
file_mod5,A0_raw,3,4,0.15000000000000002,1.0061714925996923,0.137840773248797,0.253921338951414,0.07790821771611527
file_mod5,A0_raw,3,4,0.2,1.0143207400522287,0.12632042764571655,0.22911912696461606,0.07897545357524013
file_mod5,A0_raw,3,4,0.25,1.0085289317964619,0.11725747680267956,0.2101561941131509,0.07257203842049093
file_mod5,A0_raw,3,4,0.30000000000000004,1.0136135351588331,0.10519939311223314,0.19270543987172722,0.07790821771611527
file_mod5,A0_raw,3,4,0.35,1.0169241807152412,0.09913788511119154,0.1736705649888992,0.07150480256136606
file_mod5,A0_raw,3,4,0.4,1.0193975453593553,0.09084721771132298,0.15996416616953657,0.07043756670224119
file_mod5,A0_raw,3,4,0.45000000000000007,1.0232452372242231,0.087716609533884,0.15136638793656554,0.06510138740661686
file_mod5,A0_raw,3,4,0.5,1.0251263074639987,0.08118006182043036,0.15136444792756998,0.08217716115261472
file_mod5,A0_raw,3,4,0.55,1.0233878188559258,0.0780779403241359,0.15205695850146284,0.08431163287086446
file_mod5,A0_raw,3,4,0.6,1.022251617562355,0.0805720708647007,0.1569947193538609,0.08217716115261472
file_mod5,A0_raw,3,4,0.65,1.0238426506672504,0.08616923424196993,0.1586097287742343,0.07897545357524013
file_mod5,A0_raw,3,4,0.7000000000000001,1.0183838019776397,0.0943107568508339,0.17359541060959,0.0768409818569904
file_mod5,A0_raw,3,4,0.75,1.0162197126359904,0.10977488040079969,0.18472599395070144,0.06616862326574173
file_mod5,A0_raw,3,4,0.8,1.0101232161431162,0.11867734183365136,0.20334310522870047,0.06616862326574173
file_mod5,A0_raw,3,4,0.85,1.0099295637843682,0.1323530865159288,0.2243069907152857,0.0672358591248666
file_mod5,A0_raw,3,4,0.9,1.0053614596364966,0.14598123551238001,0.24302258449188252,0.060832443970117396
file_mod5,A0_raw,4,0,0.1,1.0019109943430657,0.15556706228187162,0.28082656293461544,0.07575757575757576
file_mod5,A0_raw,4,0,0.15000000000000002,0.9824148218931181,0.13858719315700957,0.25458363272652595,0.07925407925407925
file_mod5,A0_raw,4,0,0.2,0.9891710597510617,0.12478320970956441,0.23201910028059086,0.08158508158508158
file_mod5,A0_raw,4,0,0.25,0.9963751418516904,0.11117902092026594,0.21042206547681064,0.08741258741258741
file_mod5,A0_raw,4,0,0.30000000000000004,0.9943968704184842,0.10278560084831684,0.1921445610692148,0.08158508158508158
file_mod5,A0_raw,4,0,0.35,1.0016735607439,0.09425073585947208,0.16994300444945054,0.07459207459207459
file_mod5,A0_raw,4,0,0.4,1.00452485551528,0.08387610560445485,0.15381960336797174,0.07459207459207459
file_mod5,A0_raw,4,0,0.45000000000000007,1.008912835532814,0.07876318303063534,0.14607427219847896,0.07575757575757576
file_mod5,A0_raw,4,0,0.5,1.010232497942725,0.07312858557083046,0.13603801785871478,0.08857808857808858
file_mod5,A0_raw,4,0,0.55,1.011725473090603,0.07261744207365317,0.13718645597789864,0.09207459207459208
file_mod5,A0_raw,4,0,0.6,1.0109026881358112,0.07659688649142088,0.14220321431872468,0.08857808857808858
file_mod5,A0_raw,4,0,0.65,1.0123274800093869,0.08263973762024807,0.1495111789663598,0.08624708624708624
file_mod5,A0_raw,4,0,0.7000000000000001,1.0101945934621082,0.0933296188272486,0.15995475645311863,0.07692307692307693
file_mod5,A0_raw,4,0,0.75,1.0103924857015167,0.1036317079475822,0.17260474284797228,0.07459207459207459
file_mod5,A0_raw,4,0,0.8,1.0079102967727767,0.11574325093913496,0.19235719423106978,0.06876456876456877
file_mod5,A0_raw,4,0,0.85,1.0076833479299792,0.12913511801247973,0.21198624878096373,0.06526806526806526
file_mod5,A0_raw,4,0,0.9,1.0056474842076903,0.14320659657548668,0.23509618711696972,0.05944055944055944
file_mod5,A1_s2_lifetime,0,1,0.1,1.0031592318863887,0.10593091211940264,0.20319432554329692,0.09220636663007684
file_mod5,A1_s2_lifetime,0,1,0.15000000000000002,1.009006695317055,0.09987261527249736,0.18940945376474172,0.09330406147091108
file_mod5,A1_s2_lifetime,0,1,0.2,1.0116450289101184,0.0964356968082386,0.1785250614043381,0.08562019758507135
file_mod5,A1_s2_lifetime,0,1,0.25,1.0144407107202755,0.09454656263101607,0.17216617129239442,0.07903402854006586
file_mod5,A1_s2_lifetime,0,1,0.30000000000000004,1.0154249050221797,0.09098515779697741,0.16856741694256672,0.07244785949506037
file_mod5,A1_s2_lifetime,0,1,0.35,1.0141439983810725,0.09053275175076186,0.16210933758058432,0.07135016465422613
file_mod5,A1_s2_lifetime,0,1,0.4,1.0122982885662384,0.08986143872773888,0.15939265726165225,0.06695938529088913
file_mod5,A1_s2_lifetime,0,1,0.45000000000000007,1.007614686252035,0.09219503139941715,0.160948582898363,0.06037321624588365
file_mod5,A1_s2_lifetime,0,1,0.5,1.0065532367481138,0.09567792472216685,0.16535236196396996,0.06037321624588365
file_mod5,A1_s2_lifetime,0,1,0.55,1.0035306334285905,0.10209553896618023,0.1702809527543887,0.05817782656421515
file_mod5,A1_s2_lifetime,0,1,0.6,1.008559886746424,0.10656092118749999,0.17852719857404536,0.06586169045005488
file_mod5,A1_s2_lifetime,0,1,0.65,1.0021289658625099,0.11423820603894413,0.1902708529422531,0.06586169045005488
file_mod5,A1_s2_lifetime,0,1,0.7000000000000001,1.0011552366123306,0.12233357496030445,0.19965489101511358,0.06695938529088913
file_mod5,A1_s2_lifetime,0,1,0.75,1.0066898927964287,0.13025378800736787,0.21222851580186824,0.06256860592755215
file_mod5,A1_s2_lifetime,0,1,0.8,1.0105717423264597,0.13999885690416564,0.22589558225229212,0.05598243688254665
file_mod5,A1_s2_lifetime,0,1,0.85,1.002143750769555,0.15067057138990425,0.23958033565988401,0.04939626783754116
file_mod5,A1_s2_lifetime,0,1,0.9,1.0056885401576598,0.15961887675568476,0.25510320498391603,0.048298572996706916
file_mod5,A1_s2_lifetime,1,2,0.1,1.0082388566378855,0.10545422925139242,0.19909572304242107,0.08859357696567
file_mod5,A1_s2_lifetime,1,2,0.15000000000000002,1.0134925708173341,0.10319850981001444,0.18706121731376396,0.07308970099667775
file_mod5,A1_s2_lifetime,1,2,0.2,1.0161455862127664,0.09816246046691401,0.17912170020202217,0.07419712070874862
file_mod5,A1_s2_lifetime,1,2,0.25,1.017349630835581,0.09558300029715466,0.17545070931397105,0.07308970099667775
file_mod5,A1_s2_lifetime,1,2,0.30000000000000004,1.0183561071377967,0.0940596397750581,0.1653192483532157,0.0664451827242525
file_mod5,A1_s2_lifetime,1,2,0.35,1.020728460728664,0.09183785286900237,0.1637255583713184,0.0664451827242525
file_mod5,A1_s2_lifetime,1,2,0.4,1.0206615840151247,0.08934803118558093,0.16198399563923027,0.06976744186046512
file_mod5,A1_s2_lifetime,1,2,0.45000000000000007,1.014338358269689,0.09094959508998401,0.16573956648934157,0.07641196013289037
file_mod5,A1_s2_lifetime,1,2,0.5,1.0115068351777041,0.09234854704886458,0.17044297106043615,0.07641196013289037
file_mod5,A1_s2_lifetime,1,2,0.55,1.0099566534368583,0.09576912213210148,0.17478764943385094,0.07973421926910298
file_mod5,A1_s2_lifetime,1,2,0.6,1.0100960364033373,0.10085848395523694,0.18464077467445822,0.07751937984496124
file_mod5,A1_s2_lifetime,1,2,0.65,1.0049853041235037,0.10618259038466604,0.19180150581499872,0.08194905869324474
file_mod5,A1_s2_lifetime,1,2,0.7000000000000001,1.0023728395206253,0.11237283853101543,0.20746269407415435,0.08194905869324474
