scheme,candidate,feature,global_center,bin,low,high,feature_center,events,signal_center,relative_response
file_mod5,A0_raw,dt_us,1.000144468122362,0,10.112,292.3052,214.621,900,1.0115552976982247,1.011409181312861
file_mod5,A0_raw,dt_us,1.000144468122362,1,292.3052,380.4608,339.883,900,0.9897918250294264,0.9896488523179344
file_mod5,A0_raw,dt_us,1.000144468122362,2,380.4608,458.34200000000004,417.798,900,0.984649789522037,0.9845075595634557
file_mod5,A0_raw,dt_us,1.000144468122362,3,458.34200000000004,553.3672,501.149,900,0.9918469285920483,0.9917036590264893
file_mod5,A0_raw,dt_us,1.000144468122362,4,553.3672,842.3,635.726,900,1.0292296799092941,1.0290810105079478
file_mod5,A0_raw,r2,1.000144468122362,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0705644089262847,1.070409768836823
file_mod5,A0_raw,r2,1.000144468122362,1,116121.5027526799,125947.79815012205,122035.51647905367,900,1.0019847906425916,1.0018400566906946
file_mod5,A0_raw,r2,1.000144468122362,2,125947.79815012205,131626.35543508327,128983.76821730396,900,0.9873541439855704,0.9872115233904122
file_mod5,A0_raw,r2,1.000144468122362,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9866118867780933,0.9864693733999507
file_mod5,A0_raw,r2,1.000144468122362,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9700315229328406,0.9698914045427314
file_mod5,A0_raw,fileNumber,1.000144468122362,0,0.0,208.0,106.0,897,1.0003620350368316,1.0002175354875262
file_mod5,A0_raw,fileNumber,1.000144468122362,1,208.0,397.0,303.0,901,1.0000741280790293,0.9999296701170935
file_mod5,A0_raw,fileNumber,1.000144468122362,2,397.0,590.0,496.0,898,1.0044952959689244,1.004350199381426
file_mod5,A0_raw,fileNumber,1.000144468122362,3,590.0,799.0,697.0,902,0.998038274919661,0.9978941110311244
file_mod5,A0_raw,fileNumber,1.000144468122362,4,799.0,999.0,902.0,902,0.9990383979899647,0.9988940896363966
file_mod5,A1_s2_lifetime,dt_us,0.997570429939615,0,10.112,292.3052,214.621,900,0.9530672235113986,0.9553884065800645
file_mod5,A1_s2_lifetime,dt_us,0.997570429939615,1,292.3052,380.4608,339.883,900,0.9769713136040857,0.9793507147793302
file_mod5,A1_s2_lifetime,dt_us,0.997570429939615,2,380.4608,458.34200000000004,417.798,900,0.986774577748808,0.9891778546488587
file_mod5,A1_s2_lifetime,dt_us,0.997570429939615,3,458.34200000000004,553.3672,501.149,900,1.0192168369061165,1.021699126514618
file_mod5,A1_s2_lifetime,dt_us,0.997570429939615,4,553.3672,842.3,635.726,900,1.0654211462276053,1.0680159658422288
file_mod5,A1_s2_lifetime,r2,0.997570429939615,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0770404827610665,1.0796636011216392
file_mod5,A1_s2_lifetime,r2,0.997570429939615,1,116121.5027526799,125947.79815012205,122035.51647905367,900,0.9840530732575966,0.9864497219681656
file_mod5,A1_s2_lifetime,r2,0.997570429939615,2,125947.79815012205,131626.35543508327,128983.76821730396,900,0.9919398588043102,0.9943557156805003
file_mod5,A1_s2_lifetime,r2,0.997570429939615,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9983907901206917,1.000822358157836
file_mod5,A1_s2_lifetime,r2,0.997570429939615,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9797603834666084,0.9821465773859349
file_mod5,A1_s2_lifetime,fileNumber,0.997570429939615,0,0.0,208.0,106.0,897,0.9919153238423775,0.9943311209639806
file_mod5,A1_s2_lifetime,fileNumber,0.997570429939615,1,208.0,397.0,303.0,901,0.9926251573915408,0.9950426833037006
file_mod5,A1_s2_lifetime,fileNumber,0.997570429939615,2,397.0,590.0,496.0,898,1.0023379928007539,1.0047791741996879
file_mod5,A1_s2_lifetime,fileNumber,0.997570429939615,3,590.0,799.0,697.0,902,1.002280863212942,1.0047219054734935
file_mod5,A1_s2_lifetime,fileNumber,0.997570429939615,4,799.0,999.0,902.0,902,1.0119281600173624,1.0143926981462517
file_mod5,A2_s1_dt_r2,dt_us,0.9997054806954234,0,10.112,292.3052,214.621,900,1.0495033490631527,1.0498125391221107
file_mod5,A2_s1_dt_r2,dt_us,0.9997054806954234,1,292.3052,380.4608,339.883,900,1.0252033477794638,1.0255053789105
file_mod5,A2_s1_dt_r2,dt_us,0.9997054806954234,2,380.4608,458.34200000000004,417.798,900,1.0036157167645015,1.0039113880483659
file_mod5,A2_s1_dt_r2,dt_us,0.9997054806954234,3,458.34200000000004,553.3672,501.149,900,0.9771277193677248,0.9774155871267277
file_mod5,A2_s1_dt_r2,dt_us,0.9997054806954234,4,553.3672,842.3,635.726,900,0.9459255464879959,0.9462042218974165
file_mod5,A2_s1_dt_r2,r2,0.9997054806954234,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.056219065225142,1.0565302337748574
file_mod5,A2_s1_dt_r2,r2,0.9997054806954234,1,116121.5027526799,125947.79815012205,122035.51647905367,900,1.034966337635199,1.0352712450023251
file_mod5,A2_s1_dt_r2,r2,0.9997054806954234,2,125947.79815012205,131626.35543508327,128983.76821730396,900,1.0005369440870335,1.0008317083457736
file_mod5,A2_s1_dt_r2,r2,0.9997054806954234,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9725803956777369,0.9728669237675704
file_mod5,A2_s1_dt_r2,r2,0.9997054806954234,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9414242842574289,0.9417016335676658
file_mod5,A2_s1_dt_r2,fileNumber,0.9997054806954234,0,0.0,208.0,106.0,897,1.0088001724205136,1.009097371076493
file_mod5,A2_s1_dt_r2,fileNumber,0.9997054806954234,1,208.0,397.0,303.0,901,1.0025394557873535,1.0028348099981994
file_mod5,A2_s1_dt_r2,fileNumber,0.9997054806954234,2,397.0,590.0,496.0,898,0.9967572575198278,0.997050908259956
file_mod5,A2_s1_dt_r2,fileNumber,0.9997054806954234,3,590.0,799.0,697.0,902,1.004995005939306,1.005291083570136
file_mod5,A2_s1_dt_r2,fileNumber,0.9997054806954234,4,799.0,999.0,902.0,902,0.9989632282270804,0.999257528859573
file_mod5,A3_s2_lifetime_r2,dt_us,1.0007904710784574,0,10.112,292.3052,214.621,900,0.9432430771334909,0.9424980596758149
file_mod5,A3_s2_lifetime_r2,dt_us,1.0007904710784574,1,292.3052,380.4608,339.883,900,0.975612914699409,0.9748423300314631
file_mod5,A3_s2_lifetime_r2,dt_us,1.0007904710784574,2,380.4608,458.34200000000004,417.798,900,0.9937614252779978,0.9929765060683631
file_mod5,A3_s2_lifetime_r2,dt_us,1.0007904710784574,3,458.34200000000004,553.3672,501.149,900,1.0213545043539294,1.0205477908410858
