method,bootstrap,baseline_resolution,improved_resolution,delta,ratio
documented_corrected_lifetime,0,0.06453765314081977,0.050656846636861486,-0.013880806503958287,0.7849192552187997
documented_corrected_lifetime,1,0.06366415250607381,0.04945399257831363,-0.014210159927760181,0.7767949565274669
documented_corrected_lifetime,2,0.06539104748740816,0.05231088004128715,-0.013080167446121012,0.7999700578486718
documented_corrected_lifetime,3,0.0641630568451631,0.04988579590024395,-0.01427726094491915,0.7774847139940242
documented_corrected_lifetime,4,0.0638757547552225,0.04972878466818262,-0.014146970087039884,0.7785236332431247
documented_corrected_lifetime,5,0.06115257808478927,0.04881697975493595,-0.012335598329853321,0.7982816306983858
documented_corrected_lifetime,6,0.06133026024956454,0.05036102441778471,-0.010969235831779833,0.8211448021393694
documented_corrected_lifetime,7,0.06380552661045771,0.05079682840394557,-0.013008698206512147,0.7961195699248406
documented_corrected_lifetime,8,0.06333760801164652,0.050871680408824,-0.012465927602822523,0.8031828483240118
documented_corrected_lifetime,9,0.06285613112457615,0.048420757607868216,-0.014435373516707935,0.7703426339095211
documented_corrected_lifetime,10,0.06470609118435032,0.051057321307115655,-0.013648769877234665,0.7890651463036338
documented_corrected_lifetime,11,0.06436904478809884,0.05187256442173691,-0.012496480366361924,0.8058619572886315
documented_corrected_lifetime,12,0.0655988713605894,0.050222080747520985,-0.01537679061306841,0.7655936711388832
documented_corrected_lifetime,13,0.06610106994887756,0.050419638286376,-0.015681431662501556,0.7627658421470402
documented_corrected_lifetime,14,0.06732953342847128,0.05306646941557428,-0.014263064012897002,0.7881603616331365
documented_corrected_lifetime,15,0.06438763728973836,0.04811775129757772,-0.016269885992160636,0.7473135111489234
documented_corrected_lifetime,16,0.06323596497036534,0.04929744879015891,-0.013938516180206424,0.7795792918359272
documented_corrected_lifetime,17,0.06348632641645688,0.04891828409421513,-0.01456804232224175,0.7705325989933884
documented_corrected_lifetime,18,0.06264575490448689,0.04946562282067787,-0.01318013208380902,0.7896085360627522
documented_corrected_lifetime,19,0.062066476435282715,0.05000585168296968,-0.012060624752313037,0.8056821420354229
documented_corrected_lifetime,20,0.06181165622044662,0.049275509912670254,-0.012536146307776365,0.7971879888953769
documented_corrected_lifetime,21,0.06463466709116208,0.050168164522540894,-0.014466502568621191,0.7761804427921423
documented_corrected_lifetime,22,0.061440517857021024,0.049755862337051655,-0.011684655519969368,0.8098216628453414
documented_corrected_lifetime,23,0.0653531974638575,0.04904789916318232,-0.016305298300675175,0.7505049648153398
documented_corrected_lifetime,24,0.06318779549163017,0.048367392545401414,-0.014820402946228758,0.7654546604938629
documented_corrected_lifetime,25,0.06819302719509539,0.05264636300816203,-0.01554666418693336,0.7720197382870911
documented_corrected_lifetime,26,0.06043433791063392,0.04812097343091841,-0.01231336447971551,0.7962521820306254
documented_corrected_lifetime,27,0.06463361184986527,0.0476128787499164,-0.017020733099948872,0.736658178108851
