method,stage,window_low,window_high,success,n,mu,sigma,resolution,signal_fraction,background_slope,nll,message
documented_corrected_lifetime,baseline,0.76,1.24,True,4271,1.019416303750714,0.06839683218264274,0.06709411251418278,0.8582280866692907,6.877418228958841,-4756.241904866281,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
documented_corrected_lifetime,corrected,0.76,1.24,True,4329,1.019030348996407,0.05334558807972837,0.052349361461379265,0.8331303728596172,6.785438121224642,-5421.002880727983,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
documented_corrected_lifetime,baseline,0.78,1.22,True,4211,1.0171131273889062,0.06552913388230588,0.06442659338251759,0.8322479519084912,6.659248896739767,-4855.068906093474,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
documented_corrected_lifetime,corrected,0.78,1.22,True,4282,1.0174231595597198,0.051085064428885364,0.05021024334750935,0.8145609131107437,6.976175810239762,-5523.551351208099,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
documented_corrected_lifetime,baseline,0.8,1.2,True,4121,1.0157722461820056,0.06289068722840119,0.061914161825930084,0.8099514792766542,5.982196430336226,-4957.298209955707,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
documented_corrected_lifetime,corrected,0.8,1.2,True,4211,1.016194126226915,0.048828316131887144,0.04805018536486191,0.7963714521079417,6.78904570815247,-5626.022818097607,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
documented_corrected_lifetime,baseline,0.82,1.18,True,4032,1.0131781775886746,0.05788201827440133,0.05712916005766955,0.7473051715349135,5.337949248702947,-5070.090349363724,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
documented_corrected_lifetime,corrected,0.82,1.18,True,4112,1.0154233100940229,0.04702190303307454,0.04630768524382266,0.7868636612596226,6.52005469291653,-5731.186626828065,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
exploratory_ub_bottom_stretch,baseline,0.76,1.24,True,4342,1.0025461126313158,0.04951602978863914,0.04939027658157063,0.8625917239960371,8.08812115200548,-5741.576565379233,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
exploratory_ub_bottom_stretch,corrected,0.76,1.24,True,4349,1.0023803174361643,0.048286299874804144,0.048171636089491765,0.8525664037549529,7.806659535976757,-5771.47764732766,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
exploratory_ub_bottom_stretch,baseline,0.78,1.22,True,4311,1.0012049252834565,0.04825853870528152,0.04820046075144784,0.8576226634614122,9.27077981152065,-5844.4106549167145,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
exploratory_ub_bottom_stretch,corrected,0.78,1.22,True,4315,1.0010426892609061,0.04699964467221939,0.04695068969228511,0.8473745668937321,8.837216524531927,-5876.336283334615,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
exploratory_ub_bottom_stretch,baseline,0.8,1.2,True,4254,1.000076643642121,0.04723892510810739,0.04723530482230912,0.8591398431538204,10.309600882668963,-5947.246171535479,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
exploratory_ub_bottom_stretch,corrected,0.8,1.2,True,4266,0.999812736539627,0.04588434745561039,0.045892941526647364,0.8464415762056803,10.053013102178554,-5986.104869654917,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
exploratory_ub_bottom_stretch,baseline,0.82,1.18,True,4197,0.9987444801174695,0.04612128319526478,0.046179262177088704,0.860008050779511,12.0,-6057.563047631958,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
exploratory_ub_bottom_stretch,corrected,0.82,1.18,True,4203,0.9986244730369962,0.044894694940733774,0.04495653386522859,0.8496358285576008,11.623081200871903,-6097.548692400349,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
