sequence_order,feature,bin,low,high,center,n,mu,sigma,resolution,fit_success
0,dt,0,10.594,270.7766666666667,195.301,594,0.9775315435727998,0.05308235112875052,0.05430244320785676,True
0,dt,1,270.7766666666667,353.1026666666666,314.066,593,0.976751810531841,0.05669784182671558,0.05804733732292098,True
0,dt,2,353.1026666666666,417.97,387.014,593,0.9948572251026898,0.05681629338193897,0.05710999724214131,True
0,dt,3,417.97,484.93800000000005,451.278,594,1.0045380522006728,0.05844823350966637,0.05818419061539978,True
0,dt,4,484.93800000000005,574.5833333333333,526.556,593,1.0302163449213229,0.058928889565105044,0.05720049954129335,True
0,dt,5,574.5833333333333,838.086,659.473,594,1.056362811902185,0.05874465725923404,0.05561030414678547,True
1,r2,0,4134.846330157379,187713.38902407416,158304.26652091008,594,1.054708334221401,0.04299718605516766,0.04076689702742202,True
1,r2,1,187713.38902407416,212539.29016760338,203142.34167549384,593,1.0160062355255193,0.04360956645583748,0.042922538200054317,True
1,r2,2,212539.29016760338,223498.32154460633,218542.47338045936,593,1.003398694130469,0.04025324472378807,0.04011689965240683,True
1,r2,3,223498.32154460633,233084.21628343174,228449.41992426597,594,0.9952031391752514,0.04746699899544002,0.0476957890574753,True
1,r2,4,233084.21628343174,242499.18198335453,237700.7388489607,593,0.9852598285007523,0.05348861964457756,0.054288846553269085,True
1,r2,5,242499.18198335453,301686.7714079778,248596.3583183459,594,0.9814635001950341,0.06007248913232536,0.06120705367075586,True
