bootstrap,baseline_resolution,improved_resolution,delta,ratio
0,0.060347342711263845,0.04857776011017127,-0.011769582601092572,0.8049693313356815
1,0.0661906582926563,0.04989375362536356,-0.016296904667292743,0.7537884485868477
2,0.06792151847326539,0.04898983587577847,-0.018931682597486912,0.7212712109058836
3,0.06059338437691777,0.04488413364473379,-0.01570925073218398,0.7407431373288961
4,0.06494282523190038,0.0504593105127749,-0.014483514719125484,0.7769805260641621
5,0.05231343797839519,0.03796237872818136,-0.014351059250213828,0.7256716475766583
6,0.06150649400745177,0.04519346462195659,-0.016313029385495177,0.7347754956815001
7,0.06213499461007926,0.045222639060553224,-0.016912355549526033,0.7278127139841646
8,0.05833145328222637,0.04646600994389465,-0.01186544333833172,0.7965858439884417
9,0.07375432556145327,0.05575733197769232,-0.017996993583760945,0.7559872801119228
10,0.06815830803496593,0.05083504507979897,-0.017323262955166965,0.7458378376077066
11,0.0603862696347119,0.04569204894540855,-0.014694220689303351,0.7566628841590729
12,0.05911912214580797,0.04724030815315258,-0.01187881399265539,0.7990698514880148
13,0.06193262086642054,0.04785263280422563,-0.01407998806219491,0.7726563503171721
14,0.058054520301057636,0.049559463473941516,-0.00849505682711612,0.8536710529505253
15,0.056545019146853275,0.045323803432472685,-0.011221215714380589,0.8015525348883882
16,0.061148620297253695,0.04437705919056489,-0.016771561106688808,0.7257246193755569
17,0.05651869956863673,0.047641066911973826,-0.008877632656662901,0.8429257444983879
18,0.06301895897262534,0.050885635015489594,-0.012133323957135747,0.807465496813327
19,0.06436387859489728,0.044660752947418364,-0.01970312564747892,0.6938791434324629
20,0.0685120127016262,0.052552286265546144,-0.015959726436080054,0.7670521444817919
21,0.0638198150872252,0.050146313222724684,-0.013673501864500517,0.7857483315203535
22,0.06186817659899949,0.04778169738587382,-0.014086479213125676,0.7723146213856014
23,0.0657380047683708,0.052091942255941714,-0.013646062512429086,0.7924174522711593
24,0.05889784391958659,0.04330935012948332,-0.01558849379010327,0.7353299755524788
25,0.06117886393803658,0.05214961914615177,-0.009029244791884806,0.8524123494507868
26,0.06991284577600144,0.05176520770415871,-0.018147638071842734,0.7404248408084089
27,0.05622977180707879,0.04280285094543362,-0.013426920861645174,0.7612133140480778
28,0.06559947696090329,0.05106568054932394,-0.014533796411579349,0.7784464589520834
29,0.06009200767954042,0.04832588982187163,-0.01176611785766879,0.8041982900552213
30,0.06445515204464568,0.04759211062006907,-0.016863041424576605,0.738375585354353
31,0.06037179444619047,0.042166702973583346,-0.018205091472607127,0.6984503833353277
32,0.06816605745078674,0.05290644631329199,-0.015259611137494751,0.7761406232344947
33,0.059029353265498734,0.049583679459133216,-0.009445673806365518,0.8399834441031172
34,0.0659205533516553,0.05188201850708479,-0.014038534844570502,0.7870385770325456
35,0.054965041047581834,0.04325274069950708,-0.011712300348074751,0.7869136432021271
36,0.061209562322765365,0.04803891302876367,-0.013170649294001698,0.7848269323581946
37,0.05939123433327461,0.04521974557342537,-0.014171488759849242,0.7613875360743344
38,0.05439771709246834,0.0424749018648458,-0.011922815227622535,0.7808214045571903
39,0.05606581769026885,0.05034505797049549,-0.005720759719773365,0.8979635015513865
40,0.06023359311117641,0.04610761612020949,-0.014125976990966918,0.7654800874174343
41,0.058350202625571106,0.0482913975272993,-0.010058805098271804,0.8276131933453872
42,0.06711779135330936,0.05268823676926823,-0.014429554584041132,0.7850114806656304
43,0.06313497532014198,0.044397642536092005,-0.018737332784049973,0.7032178647566178
44,0.062115240389099734,0.046080882926561983,-0.01603435746253775,0.7418611380702065
