bootstrap,baseline_resolution,improved_resolution,delta,ratio
0,0.060347342711263845,0.048535764368788335,-0.01181157834247551,0.8042734309116336
1,0.0661906582926563,0.04726127596350052,-0.01892938232915578,0.7140173127533928
2,0.06792151847326539,0.046403409805873486,-0.0215181086673919,0.6831915841831238
3,0.06059338437691777,0.04610444820462627,-0.014488936172291501,0.7608825398798674
4,0.06494282523190038,0.04572106269400021,-0.019221762537900172,0.7040202290358889
5,0.05231343797839519,0.04588423606928005,-0.00642920190911514,0.8771022865717538
6,0.06150649400745177,0.04542704198057109,-0.01607945202688068,0.7385731005098001
7,0.06213499461007926,0.04797603940355171,-0.014158955206527546,0.7721259123722408
8,0.05833145328222637,0.047154678512181115,-0.011176774770045257,0.808391971378316
9,0.07375432556145327,0.05012092117580686,-0.023633404385646407,0.6795658531789477
10,0.06815830803496593,0.04683920448691972,-0.02131910354804621,0.6872119604684247
11,0.0603862696347119,0.04801480773151718,-0.01237146190319472,0.7951278994706568
12,0.05911912214580797,0.045246266135249666,-0.013872856010558307,0.7653406291057046
13,0.06193262086642054,0.04738473125302937,-0.014547889613391173,0.7651013406203363
14,0.058054520301057636,0.048456186873309895,-0.00959833342774774,0.8346669065910294
15,0.056545019146853275,0.04699772280999995,-0.009547296336853327,0.8311558386414547
16,0.061148620297253695,0.04564163101595034,-0.015506989281303354,0.7464049195890066
17,0.05651869956863673,0.04939286605795908,-0.007125833510677644,0.8739207808200898
18,0.06301895897262534,0.04634474181093608,-0.016674217161689264,0.7354095111451724
19,0.06436387859489728,0.0471603455404188,-0.017203533054478484,0.7327144754163033
20,0.0685120127016262,0.04808289010298548,-0.02042912259864072,0.7018169253381777
21,0.0638198150872252,0.048067751236900574,-0.015752063850324627,0.753179105442477
22,0.06186817659899949,0.048329901581874966,-0.013538275017124526,0.7811754643284013
23,0.0657380047683708,0.04699578916503108,-0.018742215603339718,0.7148952775585706
24,0.05889784391958659,0.048862596090725824,-0.010035247828860769,0.8296160409103952
25,0.06117886393803658,0.047807474132800294,-0.013371389805236285,0.7814377557128366
26,0.06991284577600144,0.04938827327460803,-0.020524572501393418,0.706426304442627
27,0.05622977180707879,0.04590240573652979,-0.010327366070549002,0.8163363332509757
28,0.06559947696090329,0.04695192251126379,-0.018647554449639503,0.7157362327636655
29,0.06009200767954042,0.0479089836727783,-0.01218302400676212,0.7972604930803454
30,0.06445515204464568,0.047794864538616644,-0.016660287506029034,0.7415212441902382
31,0.06037179444619047,0.04366444571653829,-0.016707348729652183,0.7232590337439202
32,0.06816605745078674,0.0482928960444255,-0.019873161406361244,0.7084595743166033
33,0.059029353265498734,0.04843021059891867,-0.010599142666580061,0.8204428461394814
34,0.0659205533516553,0.04883076860903252,-0.017089784742622773,0.7407518008616103
35,0.054965041047581834,0.04429895066571656,-0.010666090381865272,0.8059477409899156
36,0.061209562322765365,0.045180039456261326,-0.01602952286650404,0.7381206096201368
37,0.05939123433327461,0.04659706601668893,-0.012794168316585683,0.7845781711693167
38,0.05439771709246834,0.04490442153079645,-0.009493295561671888,0.8254835667913298
39,0.05606581769026885,0.04947834907811411,-0.006587468612154743,0.8825047259892527
40,0.06023359311117641,0.047938560209265034,-0.012295032901911376,0.7958774785489259
41,0.058350202625571106,0.04644373167430606,-0.011906470951265048,0.7959480787467358
42,0.06711779135330936,0.04790263851473337,-0.019215152838575993,0.7137099947549368
43,0.06313497532014198,0.043973027255746165,-0.019161948064395813,0.6964923488568694
44,0.062115240389099734,0.04689997645749347,-0.015215263931606264,0.7550478137684821
45,0.0666305358811804,0.04940342205401902,-0.017227113827161376,0.7414531700918359
46,0.06792519140625752,0.044216453355963116,-0.023708738050294408,0.6509580972912759
47,0.06849852805682521,0.047030709027243836,-0.021467819029581378,0.6865944475219666
48,0.06310532840878849,0.04586717233438451,-0.01723815607440398,0.7268351736839503
49,0.060855546703653035,0.04681544302821872,-0.014040103675434318,0.7692880199761394
50,0.06431101103980039,0.046743432553537,-0.017567578486263384,0.7268340490652327
51,0.05419979986901702,0.044027609664912426,-0.010172190204104592,0.812320520948649
52,0.058895554802713856,0.04803356872276008,-0.010861986079953777,0.8155720560517877
53,0.06574957933946855,0.04877143860771654,-0.016978140731752016,0.7417756751857989
54,0.06852351510315183,0.049419642033580125,-0.019103873069571703,0.7212070478168888
55,0.06492135817333897,0.048996768510631075,-0.01592458966270789,0.7547095422712893
56,0.060213877131596795,0.046337590902923144,-0.013876286228673651,0.769550029167742
57,0.06571219210166562,0.048189031750121784,-0.01752316035154384,0.7333347162664556
58,0.06399757516281468,0.045729383188786075,-0.018268191974028604,0.7145486852032606
59,0.07078286121147104,0.046264919632691796,-0.02451794157877924,0.6536175401905642
60,0.0637738583159093,0.04842313655677655,-0.015350721759132754,0.7592944481563021
61,0.04830077626128078,0.04822930466541964,-7.147159586114171e-05,0.9985202805960194
62,0.05200163832780807,0.04353878095968938,-0.008462857368118686,0.8372578703238059
63,0.05488602046700118,0.04553034760951145,-0.009355672857489734,0.8295436109616547
64,0.062178287251869475,0.046868205384299956,-0.01531008186756952,0.7537712512801774
65,0.06539726473958636,0.0478130702748886,-0.017584194464697764,0.7311172793737094
66,0.06405802221637193,0.04624723520842095,-0.017810787007950975,0.7219585246046061
67,0.0606797585264063,0.04882556562892641,-0.011854192897479889,0.8046433739132096
68,0.06031370830877507,0.04628691195730076,-0.014026796351474309,0.7674360150487788
69,0.0657802652434995,0.04644751727633573,-0.01933274796716377,0.7061010943692682
70,0.06693508024908792,0.04777209249975424,-0.019162987749333685,0.7137078542668244
71,0.06648995862778011,0.04799504258155141,-0.018494916046228695,0.7218389599282838
72,0.06845699788591425,0.04836704075928188,-0.02008995712663237,0.7065317243371829
73,0.06062391078132199,0.04677569450521844,-0.013848216276103546,0.7715717099469912
74,0.0640747099008364,0.046002160397193924,-0.018072549503642475,0.7179456679302646
75,0.05874790167094248,0.04935436956763656,-0.009393532103305922,0.8401043809884347
76,0.05896761141775625,0.04691129680124514,-0.012056314616511112,0.7955434461962838
77,0.06501757533069503,0.04707898321923556,-0.017938592111459477,0.7240962613536497
78,0.06717995799852781,0.04734480240439248,-0.01983515559413533,0.704745936361407
79,0.0604059706902889,0.045631427057074014,-0.014774543633214884,0.7554125285236067
80,0.06298693124817274,0.04705614017385468,-0.015930791074318065,0.7470778341057818
81,0.0688118565552058,0.04840460131932552,-0.02040725523588028,0.703434026380205
82,0.057258107170555954,0.04402597605532614,-0.013232131115229813,0.7689037977484136
83,0.06996859591953673,0.04699239295891835,-0.022976202960618385,0.6716212086485083
84,0.06194387825726389,0.047585832955437016,-0.014358045301826876,0.768208809235428
85,0.06352824880523064,0.04606961592043577,-0.01745863288479487,0.7251831553184982
86,0.05527802815605917,0.04828173052055282,-0.006996297635506354,0.8734343848924092
87,0.06468797158806568,0.04562967243786502,-0.019058299150200658,0.7053810981805969
