variable,dtype,missing_count,missing_fraction,inf_count,n_unique,zero_fraction,constant_or_empty
runNumber,int64,0,0.0,0,1,0.0,True
fileNumber,int64,0,0.0,0,985,0.0006666666666666666,False
eventNumber,int64,0,0.0,0,958,0.0035555555555555557,False
t,int64,0,0.0,0,4500,0.0,False
iS1_max,int64,0,0.0,0,178,0.11511111111111111,False
iRealS1_max,int64,0,0.0,0,179,0.11511111111111111,False
iS2_max,int64,0,0.0,0,158,0.0008888888888888889,False
tS1_max,int64,0,0.0,0,4500,0.0,False
tS2_max,int64,0,0.0,0,4500,0.0,False
tDiffBottomTopS1_max,int64,0,0.0,0,212,0.049777777777777775,False
tDiffBottomTopS2_max,int64,0,0.0,0,181,0.023777777777777776,False
pS1_max,int64,0,0.0,0,970,0.0,False
pS2_max,int64,0,0.0,0,2201,0.0,False
hS1_max,float64,0,0.0,0,4498,0.0,False
hS2_max,float64,0,0.0,0,4499,0.0,False
wS1_max,int64,0,0.0,0,2438,0.0,False
wS2_max,int64,0,0.0,0,2595,0.0,False
wS1CDF_max,int64,0,0.0,0,1030,0.0,False
wS2CDF_max,int64,0,0.0,0,1588,0.0,False
wS2FWHM_max,int64,0,0.0,0,1409,0.0,False
widthTenS2_max,int64,0,0.0,0,2139,0.0,False
xS1T_max,float64,0,0.0,0,4500,0.0,False
yS1T_max,float64,0,0.0,0,4499,0.0,False
xS2T_max,float64,0,0.0,0,4499,0.0,False
yS2T_max,float64,0,0.0,0,4498,0.0,False
xS1Tcor_max,float64,0,0.0,0,4500,0.0,False
yS1Tcor_max,float64,0,0.0,0,4500,0.0,False
xS2Tcor_max,float64,0,0.0,0,4500,0.0,False
yS2Tcor_max,float64,0,0.0,0,4498,0.0,False
xS1B_max,float64,0,0.0,0,4500,0.0,False
yS1B_max,float64,0,0.0,0,4499,0.0,False
xS2B_max,float64,0,0.0,0,4500,0.0,False
yS2B_max,float64,0,0.0,0,4500,0.0,False
xS1Bcor_max,float64,0,0.0,0,4500,0.0,False
yS1Bcor_max,float64,0,0.0,0,4500,0.0,False
xS2Bcor_max,float64,0,0.0,0,4492,0.002,False
yS2Bcor_max,float64,0,0.0,0,4490,0.0024444444444444444,False
xS2max_cdfTM,float64,4500,1.0,0,0,0.0,True
yS2max_cdfTM,float64,4500,1.0,0,0,0.0,True
xS2max_cdfTMs,float64,4500,1.0,0,0,0.0,True
yS2max_cdfTMs,float64,4500,1.0,0,0,0.0,True
lS2max_cdfTM,float64,4500,1.0,0,0,0.0,True
rms_cdfTM,float64,4500,1.0,0,0,0.0,True
xS2max_cdfPAF,float64,4500,1.0,0,0,0.0,True
yS2max_cdfPAF,float64,4500,1.0,0,0,0.0,True
lhfS2max_cdfPAF,float64,4500,1.0,0,0,0.0,True
xS2max_desCorCog_maxS2,int64,0,0.0,0,1,1.0,True
yS2max_desCorCog_maxS2,int64,0,0.0,0,1,1.0,True
xS2max_desImageMCPAF_maxS2,float64,0,0.0,0,4500,0.0,False
yS2max_desImageMCPAF_maxS2,float64,0,0.0,0,4497,0.0,False
lhfS2max_desImageMCPAF_maxS2,float64,0,0.0,0,4497,0.0,False
xS2max_desCorCog_firstS2,int64,0,0.0,0,1,1.0,True
yS2max_desCorCog_firstS2,int64,0,0.0,0,1,1.0,True
xS2max_desImageMCPAF_firstS2,float64,0,0.0,0,4500,0.0,False
yS2max_desImageMCPAF_firstS2,float64,0,0.0,0,4497,0.0,False
lhfS2max_desImageMCPAF_firstS2,float64,0,0.0,0,4497,0.0,False
qS1C_max,float64,2,0.00044444444444444447,2,4496,0.0,False
qS1TC_max,float64,2,0.00044444444444444447,2,4496,0.0,False
qS1BC_max,float64,2,0.00044444444444444447,2,4498,0.0,False
qS1_max2,float64,0,0.0,0,4500,0.0,False
qS1T_max2,float64,0,0.0,0,3635,0.19244444444444445,False
qS1B_max2,float64,0,0.0,0,4357,0.03177777777777778,False
qS1C_max2,float64,2,0.00044444444444444447,2,4497,0.0,False
qS1TC_max2,float64,2,0.00044444444444444447,2,3633,0.19244444444444445,False
qS1BC_max2,float64,2,0.00044444444444444447,2,4356,0.03177777777777778,False
qS2C_max,float64,0,0.0,0,4497,0.0,False
qS2BC_max,float64,0,0.0,0,4495,0.0,False
qS2Belife_max,float64,0,0.0,0,4495,0.0,False
nRealDesS2,int64,0,0.0,0,1,0.0,True
iRealDesS2max,int64,0,0.0,0,1,1.0,True
qS1C_desImageMCPAF_maxS2,float64,3,0.0006666666666666666,3,4495,0.0,False
qS2BC_desImageMCPAF_maxS2,float64,1,0.00022222222222222223,1,4497,0.0,False
qS2BdesC_desImageMCPAF_maxS2,float64,1,0.00022222222222222223,1,4498,0.0,False
qS1C_desImageMCPAF_firstS2forMS,float64,3,0.0006666666666666666,3,4495,0.0,False
qS1C_ImageMCPAF_stretch_firstS2forMS,float64,3,0.0006666666666666666,3,4495,0.0,False
qS2BC_ImageMCPAF_total_stretch_firstS2forMS,float64,1,0.00022222222222222223,1,4498,0.0,False
qS2BdesC_ImageMCPAF_total_stretch_firstS2forMS,float64,1,0.00022222222222222223,1,4498,0.0,False
qS1C_desImageMCPAF_maxS2forMS,float64,3,0.0006666666666666666,3,4495,0.0,False
qS1C_ImageMCPAF_stretch_maxS2forMS,float64,3,0.0006666666666666666,3,4495,0.0,False
qS2BC_ImageMCPAF_total_stretch_maxS2forMS,float64,1,0.00022222222222222223,1,4498,0.0,False
qS2BdesC_ImageMCPAF_total_stretch_maxS2forMS,float64,1,0.00022222222222222223,1,4498,0.0,False
qS1C_ImageMCPAF_stretch_firstS2PosiforMS_divideS1,float64,3,0.0006666666666666666,3,4495,0.0,False
qS1_max,float64,0,0.0,0,4498,0.0,False
qS1T_max,float64,0,0.0,0,4499,0.0,False
qS1B_max,float64,0,0.0,0,4497,0.0,False
qS2_max,float64,0,0.0,0,4499,0.0,False
qS2B_max,float64,0,0.0,0,4500,0.0,False
qS2T_max,float64,0,0.0,0,4500,0.0,False
qS2des_max,float64,0,0.0,0,4497,0.0,False
qS2Bdes_max,float64,0,0.0,0,4497,0.0,False
qS2Tdes_max,float64,0,0.0,0,4499,0.0,False
totalS2B,float64,0,0.0,0,4500,0.0,False
dt,int64,0,0.0,0,4469,0.0,False
nPMTS1_max,int64,0,0.0,0,11,0.0,False
nPMTS2_max,int64,0,0.0,0,16,0.0,False
qSparking,int64,0,0.0,0,1,1.0,True
qPMTSparking,int64,0,0.0,0,1,1.0,True
qUnknown,float64,0,0.0,0,4500,0.0,False
qOthers,float64,0,0.0,0,4500,0.0,False
nSignals,int64,0,0.0,0,830,0.0,False
qTotal,float64,0,0.0,0,4499,0.0,False
qElse,float64,0,0.0,0,4500,0.0,False
qNearS1max,float64,0,0.0,0,4499,0.0,False
qNearS2max,float64,0,0.0,0,4498,0.00022222222222222223,False
qElseBeforeS1max,float64,0,0.0,0,4039,0.10266666666666667,False
qElseBetweenS1S2max,float64,0,0.0,0,4486,0.0024444444444444444,False
qElseAfterS2max,float64,0,0.0,0,4500,0.00022222222222222223,False
qElseMaxChannelNumber,int64,0,0.0,0,157,0.0,False
qElseMaxChannel,float64,0,0.0,0,4500,0.0,False
nSignalBeforeS1max,int64,0,0.0,0,196,0.10266666666666667,False
nSignalBetweenS1S2max,int64,0,0.0,0,378,0.0024444444444444444,False
nSignalAfterS2max,int64,0,0.0,0,901,0.00022222222222222223,False
ratioTSignal,float64,0,0.0,0,4491,0.0,False
qLargeSignal,float64,0,0.0,0,4500,0.0,False
tLargeSignal,int64,0,0.0,0,1,1.0,True
qLargeEvent,float64,0,0.0,0,4499,0.0,False
tLargeEvent,int64,0,0.0,0,1,1.0,True
deadtime,int64,0,0.0,0,1,1.0,True
duration,int64,0,0.0,0,3844,0.0,False
qTotalPreEvent,float64,0,0.0,0,4485,0.0035555555555555557,False
qS2maxPreEvent,float64,0,0.0,0,4471,0.0035555555555555557,False
tDiffPreEvent,int64,0,0.0,0,4466,0.0035555555555555557,False
nS1,int64,0,0.0,0,590,0.0,False
nPostS1,int64,0,0.0,0,128,0.00022222222222222223,False
nGoodS1,int64,0,0.0,0,175,0.0,False
nCandidateS1,int64,0,0.0,0,1,0.0,True
nS2,int64,0,0.0,0,288,0.0,False
nPostS2,int64,0,0.0,0,3,0.0,False
nRealPostS2,int64,0,0.0,0,1,0.0,True
nPMTSparking,int64,0,0.0,0,1,1.0,True
nSparking,int64,0,0.0,0,1,1.0,True
nNoise,int64,0,0.0,0,8,0.5393333333333333,False
nUnknown,int64,0,0.0,0,177,0.0,False
nOthers,int64,0,0.0,0,181,0.0,False
nPeakS1_max,int64,0,0.0,0,1,0.0,True
nPeakS2_max,int64,0,0.0,0,1,0.0,True
ratioqS2PrePeak_max,float64,0,0.0,0,4497,0.0,False
ratioqS2PrePeakSmr_max,float64,0,0.0,0,4494,0.0,False
