outer_fold,s1_sequence,s2_sequence,alpha,validation_resolution,validation_mu,validation_signal_fraction
0,none,none,0.71,0.05612282383462096,1.0282693293315965,0.7011336631710813
0,none,dt,0.71,0.05916550004400087,1.0346582890222549,0.671230781574781
0,none,r2,0.6499999999999999,0.056787300194311524,1.0392504231033581,0.7432822999311198
0,none,dt+r2,0.08,0.06398930481068388,1.0108168394678068,0.7272596065054456
0,dt,none,0.6799999999999999,0.06646834304909716,1.0161177603831366,0.8873550622843155
0,dt,dt,0.83,0.06508244667113527,1.0412277940060255,0.8090051521735923
0,dt,r2,0.6499999999999999,0.05966363828717692,1.0305797817319964,0.8571147588073967
0,dt,dt+r2,0.7999999999999999,0.0630543308274948,1.029253305983495,0.7828602923714446
0,r2,none,0.83,0.06319802344036077,1.0111964562551372,0.6296981253302653
0,r2,dt,0.74,0.06358228850666162,1.0191934955708082,0.6494281513041936
0,r2,r2,0.7999999999999999,0.05993532868630107,1.0162549527414106,0.6278453217514948
0,r2,dt+r2,0.74,0.05960709235581919,1.0188781362861012,0.6275213099590127
0,dt+r2,none,0.8599999999999999,0.07489207665839445,1.039424134435333,0.8933158953529996
0,dt+r2,dt,0.37999999999999995,0.07084107698340712,1.0280301498418434,0.7013536813028258
0,dt+r2,r2,0.62,0.06666049243411505,1.0221368636331931,0.8887994246474491
0,dt+r2,dt+r2,0.13999999999999999,0.06373484551518342,1.019179923386782,0.7698947814302164
1,none,none,0.6499999999999999,0.06411985049183248,1.0142082920119009,0.8584972132066687
1,none,dt,0.71,0.06087425759582237,1.031940115263171,0.6576838330360426
1,none,r2,0.6499999999999999,0.06537841438414137,1.0283614688260072,0.8469743905981317
1,none,dt+r2,0.59,0.06421836021108274,1.0243213016043065,0.7611213223311704
1,dt,none,0.7699999999999999,0.060678100289465894,0.9780686232703286,0.7966123641500025
1,dt,dt,0.74,0.06301058326890356,0.9890157249313777,0.8196602149594406
1,dt,r2,0.74,0.061392991864894504,0.9807468276183028,0.81134471595922
1,dt,dt+r2,0.6799999999999999,0.0608889531346055,0.9994284418398737,0.8258927845825127
1,r2,none,0.7699999999999999,0.06537760638754307,1.0003393995119634,0.7551268182933051
1,r2,dt,0.74,0.07280157030313653,1.0072415308047027,0.7973934065203979
1,r2,r2,0.74,0.06602259634236747,1.0031821043264604,0.7868079359532206
1,r2,dt+r2,0.71,0.0710798403061706,1.0158638172104957,0.809906269481909
1,dt+r2,none,0.8599999999999999,0.0655737868584951,1.0092495250221187,0.8435567300077953
1,dt+r2,dt,0.7699999999999999,0.06443980506308508,0.9695999875348501,0.7767523312490018
1,dt+r2,r2,0.8599999999999999,0.06376102617628449,0.9771974591415332,0.7747782238966411
1,dt+r2,dt+r2,0.74,0.06109190691825244,0.9792053375860345,0.7967621844518932
2,none,none,0.62,0.0662241358580205,1.014924879665155,0.8806754852359865
2,none,dt,0.37999999999999995,0.07170440224858467,1.021255421267225,0.8129719931847116
2,none,r2,0.5299999999999999,0.06130732367618418,0.9884601819408555,0.8489892481191939
2,none,dt+r2,0.22999999999999998,0.0572667358680634,0.9863415938242576,0.7666833342041708
2,dt,none,0.6799999999999999,0.062304763651467684,1.01926395563947,0.9102547537983865
2,dt,dt,0.6499999999999999,0.06143380404711684,1.0237295813407616,0.8956796033159857
2,dt,r2,0.6499999999999999,0.058139867522950195,1.0063438375048432,0.8839160034068313
2,dt,dt+r2,0.62,0.058601482394077385,1.0080077666947274,0.8863500446741829
2,r2,none,0.7699999999999999,0.07911743983178206,0.9775135412100369,0.7841276500345399
2,r2,dt,0.6799999999999999,0.08056361493693935,1.0034865565775213,0.8130507921169844
2,r2,r2,0.71,0.07578550833834524,1.0056833228363202,0.8855218208125651
2,r2,dt+r2,0.19999999999999996,0.06056191567642329,1.0009716061682659,0.7376362243605585
2,dt+r2,none,0.83,0.0710795979212964,0.9718977359268653,0.8649276208413486
2,dt+r2,dt,0.7699999999999999,0.06859218959560036,1.002785070242783,0.8924652489288889
2,dt+r2,r2,0.7699999999999999,0.06733215454849707,0.9873655476432468,0.8926456392912854
2,dt+r2,dt+r2,0.3499999999999999,0.05786339141543897,0.9987436663183824,0.7570639860820512
3,none,none,0.71,0.06241054587704733,1.0027007213839743,0.7513097834729412
3,none,dt,0.4699999999999999,0.06979384076681394,1.0320060630255228,0.7976231278690176
3,none,r2,0.4699999999999999,0.05838935151498403,0.9983828213545058,0.8483726409141851
3,none,dt+r2,0.05,0.07122866489078641,1.018517215237684,0.7591222070365162
3,dt,none,0.83,0.059868705324542956,0.999225752502643,0.7477049160688184
3,dt,dt,0.7999999999999999,0.05614366949222725,0.9960309744392818,0.7031142701158989
3,dt,r2,0.59,0.05753270760924767,0.9896331564079683,0.8624438428218539
3,dt,dt+r2,0.74,0.05361125584415919,1.0008638964547307,0.7142876071396048
3,r2,none,0.71,0.06276355825856264,0.9956175995603256,0.7564965726976649
3,r2,dt,0.59,0.06389777226456034,0.9740198166425174,0.69717713266828
3,r2,r2,0.6499999999999999,0.06077006271838486,1.005125546524705,0.8011600570550702
3,r2,dt+r2,0.4099999999999999,0.06306422090407289,0.9729357070454353,0.7934429231461525
3,dt+r2,none,0.8899999999999999,0.06575255648351035,0.980824731864011,0.7427875886324662
3,dt+r2,dt,0.7999999999999999,0.06186220002768366,0.9810208668086373,0.7507281142636549
3,dt+r2,r2,0.83,0.0629593452125311,1.008311632562639,0.8161110390559032
3,dt+r2,dt+r2,0.71,0.05800273124002646,0.9907108004461842,0.7892947593840431
4,none,none,0.62,0.060129494779622504,1.0298546089279015,0.8562927277818699
4,none,dt,0.4099999999999999,0.06146274572381245,1.0035486241999798,0.6977487230680994
4,none,r2,0.3499999999999999,0.05904488450488524,1.0057288809533165,0.8261709424870731
4,none,dt+r2,0.31999999999999995,0.056094962089422565,1.0030769210378094,0.7632985883195315
4,dt,none,0.83,0.05982225233807225,1.0326697845068604,0.8001087243247649
4,dt,dt,0.8599999999999999,0.06317881356014067,1.0273754783344355,0.8004288935774087
4,dt,r2,0.62,0.05783228065141294,1.0268924433724207,0.8824460922587477
4,dt,dt+r2,0.37999999999999995,0.05510063125641289,0.9986368290480676,0.7684666564836026
4,r2,none,0.05,0.06273824019424748,1.014662261497174,0.2335571363886818
4,r2,dt,0.8599999999999999,0.0645986720578019,1.0290798676602402,0.7100515980701775
4,r2,r2,0.5599999999999999,0.05799452472641883,1.0088482675947166,0.8569068922322594
4,r2,dt+r2,0.3499999999999999,0.05566697193090236,1.0173899436348302,0.73274529196728
4,dt+r2,none,0.08,0.0595588492538472,1.0188039466451084,0.21713548701350854
4,dt+r2,dt,0.83,0.07202295211454875,1.0089582842756109,0.9019804945577716
4,dt+r2,r2,0.71,0.06310027980661391,0.9830276876762041,0.8435212916122279
4,dt+r2,dt+r2,0.4099999999999999,0.05594914732186077,0.9899351171993137,0.7397465464839316
