bootstrap,baseline_resolution,improved_resolution,delta,ratio
0,0.06504311241746226,0.06808366381345712,0.0030405513959948643,1.0467467081907131
1,0.06668854540660066,0.06894461695525375,0.0022560715486530936,1.0338299708727758
2,0.06669503759009474,0.06948651701134453,0.0027914794212497984,1.0418543796077622
3,0.06634246542066684,0.07424224853790547,0.007899783117238629,1.1190758146708504
4,0.06748479888122268,0.06735269801683696,-0.0001321008643857119,0.9980425093269046
5,0.0627643803770718,0.06604830582035141,0.0032839254432796144,1.0523214827191898
6,0.06261504481134735,0.06795237832849606,0.005337333517148712,1.0852404327622787
7,0.06385409772309399,0.06688547330651394,0.003031375583419954,1.0474734698556958
8,0.06651296479827135,0.06753979477382692,0.0010268299755555738,1.0154380424729204
9,0.0662991031364024,0.06784768330232056,0.001548580165918162,1.0233574828717087
10,0.06615289677983172,0.06900685604748596,0.002853959267654249,1.0431418638726089
11,0.06591102690673385,0.06817477468604492,0.0022637477793110705,1.0343455091742744
12,0.06527468044029855,0.08100332325501892,0.015728642814720376,1.240960855091525
13,0.06695637160369722,0.069332519205112,0.002376147601414788,1.0354879982965441
14,0.06718731715261002,0.07230828744019781,0.005120970287587789,1.0762193000794475
15,0.06642797020157842,0.0651563880470418,-0.0012715821545366268,0.9808577297984876
16,0.06546060300537239,0.06775765352393393,0.002297050518561536,1.0350905798770753
17,0.06381596842933744,0.0670911522084788,0.0032751837791413635,1.0513223235461502
18,0.062440145337746354,0.06692078775720915,0.004480642419462798,1.071759000483206
19,0.06490534394915051,0.06625519179613017,0.0013498478469796543,1.0207971757770389
20,0.06361566692934031,0.0658279016387288,0.002212234709388486,1.0347749983010581
21,0.06759277269476498,0.07121156911125084,0.003618796416485867,1.053538215288602
22,0.0641114884209634,0.06695628413478714,0.0028447957138237473,1.0443726356054082
23,0.06662339343013392,0.06847890125769852,0.0018555078275646064,1.0278506952593225
24,0.06355883583512457,0.06741923515605071,0.0038603993209261334,1.060737413928415
25,0.07005307264294175,0.07436723340920476,0.004314160766263009,1.0615841761610108
