outer_fold,group,leaves,sigma_over_mu,fit_p,r68,r90
0,none,0,0.038434652478909356,5.9301761460031906e-58,0.06694344209828065,0.12981625107854486
0,geometry,3,0.03987597499912118,1.3831514248499251e-18,0.06604866848684857,0.12799963334244915
0,geometry,5,0.039158573291428515,4.086710140558647e-17,0.06584957527124298,0.12599042972269447
0,geometry_shape,3,0.039404647405337216,3.007775956927346e-24,0.047101621508516565,0.10309230395765404
0,geometry_shape,5,0.03768183183079733,2.969801255101121e-21,0.04598384469535268,0.10156285477639894
1,none,0,0.038810952052861225,3.1167082551153505e-61,0.06884728567462164,0.1306836476012253
1,geometry,3,0.04062309056875067,2.949699730164468e-18,0.0682282254752949,0.12849134229896145
1,geometry,5,0.04053335852652026,6.387557929661575e-17,0.06701019722636928,0.12787281829314393
1,geometry_shape,3,0.03824945462005974,4.347375608600609e-24,0.04846597139425497,0.10361079974087206
1,geometry_shape,5,0.038283229013900286,2.6541502943916954e-26,0.04748735966506276,0.10158332199024254
2,none,0,0.03857087156700513,1.36280215143132e-50,0.0669413121302086,0.13043306058681137
2,geometry,3,0.038861188752921196,1.0100487421442813e-22,0.06594952688705456,0.12860298207164875
2,geometry,5,0.03842319685234241,5.97092186899842e-19,0.06567756049260585,0.1273941380794345
2,geometry_shape,3,0.037567882575806504,7.067327337722618e-30,0.048067193500638976,0.1036862292748659
2,geometry_shape,5,0.03620667173951797,1.2193853362326462e-23,0.04673009030965191,0.10154865378209822
3,none,0,0.03805177781554378,2.1985893242668016e-62,0.06985666261232726,0.1336801469572775
3,geometry,3,0.03855130029768675,4.706615313904492e-23,0.06830783444780446,0.12953991443056298
3,geometry,5,0.03913130585363186,3.445920827342765e-20,0.06785368476180367,0.1290120173445692
3,geometry_shape,3,0.03756847038237194,1.4196647517214415e-16,0.04773843034727607,0.10359179174077085
3,geometry_shape,5,0.038086389633551564,1.4832853751146424e-20,0.04654385135008417,0.10210330866751408
4,none,0,0.038201792593584846,1.2534638255210733e-50,0.06833013539082572,0.13013796155683927
4,geometry,3,0.038781138495653844,6.818035349500869e-13,0.06714192566271568,0.12655341809011042
4,geometry,5,0.03877973394722727,1.492507484101588e-11,0.0669468308480398,0.12635321471919253
4,geometry_shape,3,0.03868998893999962,5.721785951496446e-18,0.04749077082800046,0.10316396919076008
4,geometry_shape,5,0.037100434868317905,3.6743774726249635e-17,0.04696803620681319,0.1013279544736335
