success,sigma_over_mu,mu,p_value,background,half_window,outer_block,method
True,0.04732281380388207,2614.3726724058615,0.06783889069874918,none,0.08,0,baseline
True,0.04561634362682918,2618.137768567248,0.00026718300326390953,none,0.12,0,baseline
True,0.047266453190506305,2625.110557774438,1.6049809889583244e-21,none,0.16,0,baseline
True,0.0471321380630062,2627.9549140473773,3.5425848125294844e-58,none,0.2,0,baseline
True,0.03453991857871548,2617.2519772350815,0.26633775150612865,constant,0.08,0,baseline
True,0.045616486960037464,2618.1371844984715,0.0001985383266332725,constant,0.12,0,baseline
True,0.0472659810239617,2625.108794695448,8.279925048758999e-22,constant,0.16,0,baseline
True,0.0463019108765241,2627.2533393008507,3.0947507374981616e-50,constant,0.2,0,baseline
True,0.03323323365497153,2614.3984906957558,0.23203525799778746,linear,0.08,0,baseline
True,0.04288192841156854,2597.6937076150207,0.13225303951859368,linear,0.12,0,baseline
True,0.04179239022678376,2607.214291307436,0.004719034778895438,linear,0.16,0,baseline
True,0.0419067410743685,2613.407359441637,4.546029524517845e-05,linear,0.2,0,baseline
True,0.02617278101332582,2618.0926579708557,0.5001913635500107,none,0.08,0,candidate
True,0.027216551492377453,2619.188698557206,0.04395454328918127,none,0.12,0,candidate
True,0.027149962897753472,2619.183574277655,0.00066042333060025,none,0.16,0,candidate
True,0.026894687782607823,2619.2459050571765,1.5956510302500388e-05,none,0.2,0,candidate
True,0.025105778125210355,2618.165307784293,0.5718786323646377,constant,0.08,0,candidate
True,0.02613241354187935,2619.06659788799,0.579346732545288,constant,0.12,0,candidate
True,0.026307628216909188,2619.083466818865,0.4091360938161732,constant,0.16,0,candidate
True,0.02628123825870886,2619.214562283413,0.0770479313932414,constant,0.2,0,candidate
True,0.024445571281783065,2615.9975081959237,0.6235336613587185,linear,0.08,0,candidate
True,0.025815161019333944,2617.5986151264206,0.8842852310005567,linear,0.12,0,candidate
True,0.026141061577343458,2618.2693792843547,0.9052391213447363,linear,0.16,0,candidate
True,0.02615465728778512,2618.669668845366,0.47510992947340636,linear,0.2,0,candidate
True,0.03992504110206623,2609.5973721211203,0.08845890904837828,none,0.08,1,baseline
True,0.04340135893901735,2611.9717805545333,2.0784969070663344e-09,none,0.12,1,baseline
True,0.043689146625742824,2615.186266255938,2.7059332713195754e-35,none,0.16,1,baseline
True,0.042522975135732395,2616.6079804296187,3.1755610472651056e-57,none,0.2,1,baseline
True,0.02818836051834612,2610.102582513896,0.3323382038203945,constant,0.08,1,baseline
True,0.041578493827540496,2611.707798410209,3.096450693704746e-08,constant,0.12,1,baseline
True,0.04170509986481566,2614.5165559954835,3.469387696976336e-26,constant,0.16,1,baseline
True,0.040786252446554226,2615.9548450684088,1.507442731191316e-36,constant,0.2,1,baseline
True,0.027954238235801388,2612.5706894266887,0.3531223110922227,linear,0.08,1,baseline
True,0.03896286284493985,2597.2805137377727,0.05143288947489448,linear,0.12,1,baseline
True,0.03883521732974945,2603.860879710267,0.0018624485971747006,linear,0.16,1,baseline
True,0.03825355069417205,2608.1278711323284,0.0003606723431047944,linear,0.2,1,baseline
True,0.02243966240218331,2613.493526069329,8.365520911867127e-08,none,0.08,1,candidate
True,0.0229096301489502,2614.225745926236,1.1835394556299836e-16,none,0.12,1,candidate
True,0.02340849867058815,2613.5947749492575,1.7420898558242641e-19,none,0.16,1,candidate
True,0.02355213813226739,2613.0572603616,6.003455250805236e-24,none,0.2,1,candidate
True,0.020473993963934126,2613.5290608818786,0.04812014640807652,constant,0.08,1,candidate
True,0.02156959737004877,2614.128144100691,0.000407971017857832,constant,0.12,1,candidate
True,0.02253915674509197,2613.5687861164774,1.810607288258457e-05,constant,0.16,1,candidate
True,0.022910977006952236,2613.0880039744434,4.274532337717217e-08,constant,0.2,1,candidate
True,0.020541747387997748,2611.8285500624625,0.14731614098729734,linear,0.08,1,candidate
True,0.02153883450272166,2613.305441539557,0.016480848225619085,linear,0.12,1,candidate
True,0.022492326710837503,2613.108676748899,0.005748404902824459,linear,0.16,1,candidate
True,0.022885535928230047,2612.815884459178,5.2319909671991005e-05,linear,0.2,1,candidate
True,0.04521432644716923,2619.1209044362486,0.3059440000316311,none,0.08,2,baseline
True,0.0484402473332117,2623.3593915033853,2.074529868297202e-11,none,0.12,2,baseline
True,0.04677187026188765,2628.76317455833,6.215741136702795e-26,none,0.16,2,baseline
True,0.04700380386703908,2629.2660890274365,8.607236642089706e-49,none,0.2,2,baseline
True,0.03232213293406357,2617.971751406824,0.5203411776750294,constant,0.08,2,baseline
True,0.04123267742434145,2620.291172839583,0.0005401133803374619,constant,0.12,2,baseline
True,0.04516186492973048,2627.7911809781513,9.977594406162519e-22,constant,0.16,2,baseline
True,0.04551459413930254,2628.312466767534,1.379873154393934e-37,constant,0.2,2,baseline
True,0.02804805811805829,2628.7157543331687,0.6189985175481608,linear,0.08,2,baseline
True,0.04446623329005667,2595.5214594756835,0.2785682729971912,linear,0.12,2,baseline
True,0.04400029140728645,2613.1791451258723,0.008474762910206301,linear,0.16,2,baseline
True,0.044674395038967606,2620.4991796065983,7.820750461625856e-09,linear,0.2,2,baseline
True,0.026064092527477135,2616.6834097170718,0.0002995794607559507,none,0.08,2,candidate
True,0.026082446288648614,2617.426085180243,9.911622239395147e-08,none,0.12,2,candidate
True,0.026982778961983006,2618.9593110092987,6.999443869113136e-05,none,0.16,2,candidate
True,0.027449268852156178,2619.6975787209312,1.8127171356798415e-05,none,0.2,2,candidate
True,0.023077367387184907,2616.828252105203,0.03892710658599556,constant,0.08,2,candidate
True,0.02456514816289078,2617.5408267728512,0.0015602080442246047,constant,0.12,2,candidate
True,0.026129960014541445,2618.9323268996523,0.057670422247036,constant,0.16,2,candidate
True,0.026882312707190582,2619.668690830983,0.01884769197296739,constant,0.2,2,candidate
True,0.022856433367947418,2617.381550126265,0.03195477958639257,linear,0.08,2,candidate
True,0.024629010467913916,2616.411808238446,0.004576839667239077,linear,0.12,2,candidate
True,0.026091779326924667,2618.2684990019343,0.24829596482327584,linear,0.16,2,candidate
True,0.026852775163247317,2619.210715744285,0.1683366383688649,linear,0.2,2,candidate
True,0.03944941687447845,2617.398444042636,0.08952279611855891,none,0.08,3,baseline
True,0.04404062878421959,2618.9006348505477,1.6351155564652143e-06,none,0.12,3,baseline
True,0.04426955468940105,2621.1541139049987,1.9804180975094125e-31,none,0.16,3,baseline
True,0.04394558111780801,2624.1004800550586,1.662774095696103e-52,none,0.2,3,baseline
True,0.03339002053138643,2618.0964347680383,0.18401072106872826,constant,0.08,3,baseline
True,0.04080767831276535,2618.5009081053986,2.9895144442932937e-05,constant,0.12,3,baseline
True,0.04202395682622628,2620.4974564880285,9.36150520747758e-21,constant,0.16,3,baseline
True,0.042082952717527516,2623.33109632137,7.759859987955477e-33,constant,0.2,3,baseline
True,0.028849445851768126,2631.0695411044862,0.3910786532485945,linear,0.08,3,baseline
True,0.0404017356022894,2605.3158899614455,0.003740581895055752,linear,0.12,3,baseline
True,0.03964415513761003,2608.6461885662175,0.0054771399633621815,linear,0.16,3,baseline
True,0.04037436620899648,2616.2424475579046,6.019156621554092e-05,linear,0.2,3,baseline
True,0.022993809236960757,2614.4467164661282,0.003983004717753277,none,0.08,3,candidate
True,0.023806967798689516,2614.945905634041,4.917947698490584e-12,none,0.12,3,candidate
True,0.0242144054654185,2614.2875808484278,2.374760163229741e-14,none,0.16,3,candidate
True,0.02457629192179867,2614.8590160264403,2.356733288418217e-16,none,0.2,3,candidate
True,0.020051052346970917,2614.8197086514983,0.9429281221680332,constant,0.08,3,candidate
True,0.022203490619072876,2615.042820805612,0.07478836074708892,constant,0.12,3,candidate
True,0.023264101051291283,2614.353708103945,0.0007450584923985249,constant,0.16,3,candidate
True,0.023924833968976603,2614.89034561439,2.9024821407665053e-06,constant,0.2,3,candidate
True,0.02002041586985695,2614.323146382733,0.9538055763976024,linear,0.08,3,candidate
True,0.022096758194348302,2614.454573405544,0.180888624129116,linear,0.12,3,candidate
True,0.02317282087021385,2613.9984089144136,0.010822887214791374,linear,0.16,3,candidate
True,0.02386232637584186,2614.666806903408,7.938359870570896e-05,linear,0.2,3,candidate
True,0.03805749349898006,2612.328592921235,0.0027637814530973507,none,0.08,4,baseline
True,0.04448300178731916,2617.0015912470176,3.0383923698198898e-18,none,0.12,4,baseline
True,0.04447227649346566,2615.4908194919294,1.0504552098560063e-38,none,0.16,4,baseline
True,0.04444300621505214,2619.5279041892054,1.7439919230762753e-53,none,0.2,4,baseline
True,0.03461352263366464,2612.356530113463,0.004814717338892303,constant,0.08,4,baseline
True,0.041216300036778834,2616.6300810350126,1.2281026182076918e-15,constant,0.12,4,baseline
True,0.04275652486364094,2615.1222338879506,1.3672422070906923e-30,constant,0.16,4,baseline
True,0.042816210732070016,2618.9624282401046,1.324727157147114e-39,constant,0.2,4,baseline
True,0.0331117178210304,2617.7208703927317,0.003156082986774055,linear,0.08,4,baseline
True,0.03994970425323582,2602.2374437063922,6.124392633439919e-11,linear,0.12,4,baseline
True,0.04102153587616306,2603.6563300325042,4.081496845102314e-08,linear,0.16,4,baseline
True,0.04114122549562441,2611.2532962693717,1.531817231438759e-11,linear,0.2,4,baseline
True,0.023191411307865686,2611.5761841750254,0.001812094447314769,none,0.08,4,candidate
True,0.023609988607411606,2611.810539963059,3.2113479196123703e-09,none,0.12,4,candidate
True,0.02459744811556201,2612.1812157761174,1.0604426168272404e-06,none,0.16,4,candidate
True,0.02471518135739377,2611.4793422575576,7.918292339881967e-08,none,0.2,4,candidate
True,0.020850394630678164,2611.8861632718076,0.21646074145821823,constant,0.08,4,candidate
True,0.022343845212587428,2611.952332425409,0.0024061602479256406,constant,0.12,4,candidate
True,0.023525818624673192,2612.3219211480637,0.07702059490663879,constant,0.16,4,candidate
True,0.023980011033917666,2611.5686357600043,0.02382201753905257,constant,0.2,4,candidate
True,0.020611795406339683,2610.3522467017715,0.2951038343640424,linear,0.08,4,candidate
True,0.022278866005312634,2611.4056158946346,0.006582463515927343,linear,0.12,4,candidate
True,0.023428269898397667,2611.883670833622,0.21405489966062538,linear,0.16,4,candidate
True,0.023900274896763146,2611.2841962808393,0.12023243991375367,linear,0.2,4,candidate
