success,sigma_over_mu,mu,p_value,background,half_window,outer_block,method
True,0.04732281380388207,2614.3726724058615,0.06783889069874918,none,0.08,0,baseline
True,0.04561634362682918,2618.137768567248,0.00026718300326390953,none,0.12,0,baseline
True,0.047266453190506305,2625.110557774438,1.6049809889583244e-21,none,0.16,0,baseline
True,0.0471321380630062,2627.9549140473773,3.5425848125294844e-58,none,0.2,0,baseline
True,0.03453991857871548,2617.2519772350815,0.26633775150612865,constant,0.08,0,baseline
True,0.045616486960037464,2618.1371844984715,0.0001985383266332725,constant,0.12,0,baseline
True,0.0472659810239617,2625.108794695448,8.279925048758999e-22,constant,0.16,0,baseline
True,0.0463019108765241,2627.2533393008507,3.0947507374981616e-50,constant,0.2,0,baseline
True,0.03323323365497153,2614.3984906957558,0.23203525799778746,linear,0.08,0,baseline
True,0.04288192841156854,2597.6937076150207,0.13225303951859368,linear,0.12,0,baseline
True,0.04179239022678376,2607.214291307436,0.004719034778895438,linear,0.16,0,baseline
True,0.0419067410743685,2613.407359441637,4.546029524517845e-05,linear,0.2,0,baseline
True,0.02795543704310597,2618.278690888948,0.13064397883156595,none,0.08,0,candidate
True,0.028957124102037737,2620.0567975978456,0.002320557364056396,none,0.12,0,candidate
True,0.029230380761298486,2619.887541503606,2.7832397855731196e-05,none,0.16,0,candidate
True,0.02890196565078757,2620.830325555043,2.5819259324044828e-09,none,0.2,0,candidate
True,0.027924087543500224,2618.27999464219,0.11377939420412245,constant,0.08,0,candidate
True,0.027999594530295453,2619.807121452253,0.10965880303845933,constant,0.12,0,candidate
True,0.02814539964184559,2619.5927554576188,0.12054530036870971,constant,0.16,0,candidate
True,0.028116103668951883,2620.6253066303766,0.0016516324919954918,constant,0.2,0,candidate
True,0.026433364699264394,2613.4478597414013,0.2172954366868431,linear,0.08,0,candidate
True,0.027350644017988736,2616.7561234055165,0.8592935448235396,linear,0.12,0,candidate
True,0.02765194184306024,2617.6452934202844,0.8856933088274039,linear,0.16,0,candidate
True,0.027858419647349433,2619.590781522522,0.2563817869437193,linear,0.2,0,candidate
True,0.03992504110206623,2609.5973721211203,0.08845890904837828,none,0.08,1,baseline
True,0.04340135893901735,2611.9717805545333,2.0784969070663344e-09,none,0.12,1,baseline
True,0.043689146625742824,2615.186266255938,2.7059332713195754e-35,none,0.16,1,baseline
True,0.042522975135732395,2616.6079804296187,3.1755610472651056e-57,none,0.2,1,baseline
True,0.02818836051834612,2610.102582513896,0.3323382038203945,constant,0.08,1,baseline
True,0.041578493827540496,2611.707798410209,3.096450693704746e-08,constant,0.12,1,baseline
True,0.04170509986481566,2614.5165559954835,3.469387696976336e-26,constant,0.16,1,baseline
True,0.040786252446554226,2615.9548450684088,1.507442731191316e-36,constant,0.2,1,baseline
True,0.027954238235801388,2612.5706894266887,0.3531223110922227,linear,0.08,1,baseline
True,0.03896286284493985,2597.2805137377727,0.05143288947489448,linear,0.12,1,baseline
True,0.03883521732974945,2603.860879710267,0.0018624485971747006,linear,0.16,1,baseline
True,0.03825355069417205,2608.1278711323284,0.0003606723431047944,linear,0.2,1,baseline
True,0.023608572115308812,2611.4678050013054,4.623434720152532e-13,none,0.08,1,candidate
True,0.025260242090956987,2612.161118481807,2.703378545571264e-24,none,0.12,1,candidate
True,0.02512037423628873,2611.8104147100125,5.043063453317596e-30,none,0.16,1,candidate
True,0.025254464424845795,2612.836490437603,4.078967506509091e-38,none,0.2,1,candidate
True,0.021015601164446413,2612.107690684892,0.0018938559773434198,constant,0.08,1,candidate
True,0.02372280914863783,2612.3601736662417,7.534538347009319e-07,constant,0.12,1,candidate
True,0.02414081861967403,2611.9304118620494,2.32268207963434e-09,constant,0.16,1,candidate
True,0.02448700899266394,2612.9304536713694,8.02060805552892e-16,constant,0.2,1,candidate
True,0.021202663369046318,2609.975005499927,0.011289264348034896,linear,0.08,1,candidate
True,0.023572599155350527,2610.677205804618,0.021274763786071734,linear,0.12,1,candidate
True,0.024059941513402502,2611.171993349216,0.000509326329157521,linear,0.16,1,candidate
True,0.024390506838132257,2612.470676831038,5.572091806140613e-09,linear,0.2,1,candidate
True,0.04521432644716923,2619.1209044362486,0.3059440000316311,none,0.08,2,baseline
True,0.0484402473332117,2623.3593915033853,2.074529868297202e-11,none,0.12,2,baseline
True,0.04677187026188765,2628.76317455833,6.215741136702795e-26,none,0.16,2,baseline
True,0.04700380386703908,2629.2660890274365,8.607236642089706e-49,none,0.2,2,baseline
True,0.03232213293406357,2617.971751406824,0.5203411776750294,constant,0.08,2,baseline
True,0.04123267742434145,2620.291172839583,0.0005401133803374619,constant,0.12,2,baseline
True,0.04516186492973048,2627.7911809781513,9.977594406162519e-22,constant,0.16,2,baseline
True,0.04551459413930254,2628.312466767534,1.379873154393934e-37,constant,0.2,2,baseline
True,0.02804805811805829,2628.7157543331687,0.6189985175481608,linear,0.08,2,baseline
True,0.04446623329005667,2595.5214594756835,0.2785682729971912,linear,0.12,2,baseline
True,0.04400029140728645,2613.1791451258723,0.008474762910206301,linear,0.16,2,baseline
True,0.044674395038967606,2620.4991796065983,7.820750461625856e-09,linear,0.2,2,baseline
True,0.02770778134732956,2618.343939345008,0.020297788305198225,none,0.08,2,candidate
True,0.028831584005320737,2618.824071952992,4.178562871759895e-07,none,0.12,2,candidate
True,0.028804474895269955,2618.424956489368,8.810637336866185e-09,none,0.16,2,candidate
True,0.029126450867474524,2620.191605246094,1.0752694549769911e-08,none,0.2,2,candidate
True,0.02452870411630123,2618.6749700563273,0.25101976160654205,constant,0.08,2,candidate
True,0.02718737625852877,2619.024921533289,0.014603000818211182,constant,0.12,2,candidate
True,0.028001194031738546,2618.551513901052,0.00036917658910130607,constant,0.16,2,candidate
True,0.02852996725874317,2620.1960943532654,0.0004694569412666567,constant,0.2,2,candidate
True,0.024073759305835364,2619.772341077898,0.23668681992297758,linear,0.08,2,candidate
True,0.027303454141951494,2617.192493147513,0.240645814498064,linear,0.12,2,candidate
True,0.028033621957203547,2617.736296289516,0.03700437713935885,linear,0.16,2,candidate
True,0.028516746587354078,2619.6373929437163,0.07959815843192941,linear,0.2,2,candidate
True,0.03944941687447845,2617.398444042636,0.08952279611855891,none,0.08,3,baseline
True,0.04404062878421959,2618.9006348505477,1.6351155564652143e-06,none,0.12,3,baseline
True,0.04426955468940105,2621.1541139049987,1.9804180975094125e-31,none,0.16,3,baseline
True,0.04394558111780801,2624.1004800550586,1.662774095696103e-52,none,0.2,3,baseline
True,0.03339002053138643,2618.0964347680383,0.18401072106872826,constant,0.08,3,baseline
True,0.04080767831276535,2618.5009081053986,2.9895144442932937e-05,constant,0.12,3,baseline
True,0.04202395682622628,2620.4974564880285,9.36150520747758e-21,constant,0.16,3,baseline
True,0.042082952717527516,2623.33109632137,7.759859987955477e-33,constant,0.2,3,baseline
True,0.028849445851768126,2631.0695411044862,0.3910786532485945,linear,0.08,3,baseline
True,0.0404017356022894,2605.3158899614455,0.003740581895055752,linear,0.12,3,baseline
True,0.03964415513761003,2608.6461885662175,0.0054771399633621815,linear,0.16,3,baseline
True,0.04037436620899648,2616.2424475579046,6.019156621554092e-05,linear,0.2,3,baseline
True,0.023982712377759077,2614.1862672627663,1.4051174616307432e-09,none,0.08,3,candidate
True,0.02674848156261964,2612.4662095486883,7.220388491346019e-11,none,0.12,3,candidate
True,0.026991920226072795,2613.0716899468157,4.468505842353944e-14,none,0.16,3,candidate
True,0.027649037647829163,2612.987686993902,2.841859902910527e-15,none,0.2,3,candidate
True,0.021178717718831664,2614.195575411431,0.000535018456996824,constant,0.08,3,candidate
True,0.02453911679274611,2612.473407008022,0.07909707608496733,constant,0.12,3,candidate
True,0.0258334745826033,2612.990543641433,9.450778320743465e-05,constant,0.16,3,candidate
True,0.026779285876213477,2612.9096160762997,7.592120843838166e-06,constant,0.2,3,candidate
True,0.02113981435716437,2613.581853936408,0.0009038263268090916,linear,0.08,3,candidate
True,0.024188415240804527,2611.1194716934415,0.5843144449680204,linear,0.12,3,candidate
True,0.025639876187943948,2612.314603171431,0.014765295213764273,linear,0.16,3,candidate
True,0.02664186859226634,2612.472113378792,0.003442109637873713,linear,0.2,3,candidate
True,0.03805749349898006,2612.328592921235,0.0027637814530973507,none,0.08,4,baseline
True,0.04448300178731916,2617.0015912470176,3.0383923698198898e-18,none,0.12,4,baseline
True,0.04447227649346566,2615.4908194919294,1.0504552098560063e-38,none,0.16,4,baseline
True,0.04444300621505214,2619.5279041892054,1.7439919230762753e-53,none,0.2,4,baseline
True,0.03461352263366464,2612.356530113463,0.004814717338892303,constant,0.08,4,baseline
True,0.041216300036778834,2616.6300810350126,1.2281026182076918e-15,constant,0.12,4,baseline
True,0.04275652486364094,2615.1222338879506,1.3672422070906923e-30,constant,0.16,4,baseline
True,0.042816210732070016,2618.9624282401046,1.324727157147114e-39,constant,0.2,4,baseline
True,0.0331117178210304,2617.7208703927317,0.003156082986774055,linear,0.08,4,baseline
True,0.03994970425323582,2602.2374437063922,6.124392633439919e-11,linear,0.12,4,baseline
True,0.04102153587616306,2603.6563300325042,4.081496845102314e-08,linear,0.16,4,baseline
True,0.04114122549562441,2611.2532962693717,1.531817231438759e-11,linear,0.2,4,baseline
True,0.026287292602773626,2612.654307099218,0.18341116232031243,none,0.08,4,candidate
True,0.026907451971961347,2612.434029355604,8.20534589679039e-05,none,0.12,4,candidate
True,0.02725575607827182,2612.6929068929653,4.7622979159867294e-07,none,0.16,4,candidate
True,0.027271714274302177,2612.7868500458676,6.626274028310513e-11,none,0.2,4,candidate
True,0.023843121831925315,2612.671786439314,0.8131075151797452,constant,0.08,4,candidate
True,0.02544931712969092,2612.402242316021,0.11577486754443497,constant,0.12,4,candidate
True,0.026286803009287065,2612.6509697999727,0.023949026027524214,constant,0.16,4,candidate
True,0.02656111038503741,2612.7479479899325,0.00016575148020799002,constant,0.2,4,candidate
True,0.02311817125877696,2609.368103651164,0.9901460188857134,linear,0.08,4,candidate
True,0.025251696545856715,2611.1711581714194,0.41720877248313254,linear,0.12,4,candidate
True,0.026205995491618287,2612.0368712644463,0.18250466061654594,linear,0.16,4,candidate
True,0.026490661116316813,2612.33009666172,0.01283603143357289,linear,0.2,4,candidate
