method,sigma_over_mu,fit_p,r68,r90
two_stage_hgb_extra,0.018829629194449603,7.916384858551846e-209,0.021163991522803967,0.05030913217752857
blend_hgb_two_stage,0.018882107749846947,2.0201871885769298e-207,0.02121144125651984,0.050696943742879585
hgb_aggressive,0.01978437722699164,2.0021763679824697e-202,0.021441203920190895,0.05120700441321858
blend_three,0.02304374887606432,1.177935858256642e-121,0.02420959212057116,0.053960834377937195
blend_extra20_two_stage,0.02476262311063436,3.5563706866520807e-85,0.026244570837864526,0.05575210379028635
blend_hgb_extra20,0.025381835028296582,2.0227916021975122e-80,0.02666661135355078,0.056850438622296905
forest_leaf25,0.02671634008990104,8.89809927037385e-47,0.028487532000903353,0.05879360397542585
extra_leaf20,0.03172709016482126,2.7728301223223312e-46,0.03302917187259108,0.06579601926391632
extra_leaf35,0.03343964948806721,2.4393966932418046e-42,0.035145781685942006,0.06961391444961458
current_formula,0.038046339019149666,4.672608805829301e-85,0.06784395577990697,0.13056319320182233
