base,config,repeat,sigma_over_mu,fit_p,r68,r90
current_k100,conservative_lad,0,0.03667944230132127,2.301412487966914e-16,0.04029575631395454,0.08474732645743402
current_k100,conservative_lad,1,0.03684598495225982,6.936739801503937e-16,0.04033555423418501,0.08403157396355757
current_k100,conservative_lad,2,0.03678353522897719,1.6846933935029455e-18,0.040452282522183886,0.08355784444272955
current_k100,conservative_lad,3,0.03683606008890983,1.9830549584741963e-15,0.040276754681143834,0.08400353753085105
current_k100,conservative_lad,4,0.037042593280574285,5.870469190323147e-23,0.04013445130332803,0.08444066093343003
current_k100,conservative_lad,5,0.0367503397210293,2.001029360537208e-19,0.04052012321262556,0.08380902676733577
current_k100,conservative_lad,6,0.03698353886500666,8.510672775169918e-18,0.0404006361662681,0.08485992744489036
current_k100,conservative_lad,7,0.03695581217118282,1.789815400494641e-18,0.04029440208671803,0.0838395933684403
current_k100,balanced_lad,0,0.029996817441718195,9.066953856681407e-40,0.03308092425782235,0.071974944004036
current_k100,balanced_lad,1,0.03030190868488597,1.0775911114667701e-43,0.03329514464975791,0.07122315143860071
current_k100,balanced_lad,2,0.030298492634613098,7.325191748748012e-37,0.03332319206866595,0.07231153852127663
current_k100,balanced_lad,3,0.029880443478382077,7.742159436807821e-35,0.03257308887777602,0.07204982120865647
current_k100,balanced_lad,4,0.0301125915470572,1.4768007053848482e-38,0.032989056339407255,0.07282140913156332
current_k100,balanced_lad,5,0.030401324152585178,1.3151535441085124e-42,0.03280941698110536,0.07202436905940811
current_k100,balanced_lad,6,0.030225167218744405,2.2615113716517244e-39,0.03336973882624855,0.07134410817767
current_k100,balanced_lad,7,0.030161578383248396,6.476761010902226e-30,0.033489087538720416,0.07223635169770407
current_k100,flexible_lad,0,0.02625380212177183,4.588256767741611e-74,0.028621005048918787,0.0651803529191805
current_k100,flexible_lad,1,0.0260138709450272,6.2679229579491e-96,0.028586239807367936,0.06501366556575487
current_k100,flexible_lad,2,0.025965878903495762,2.6530992815906536e-76,0.028308881274223145,0.06443803939516501
current_k100,flexible_lad,3,0.025776879983178763,1.248152417942426e-100,0.028472877649538954,0.06493067047358007
current_k100,flexible_lad,4,0.025542052730917034,3.9524405832361277e-72,0.02865716338388832,0.0653620855112932
current_k100,flexible_lad,5,0.02581725557036348,2.0926644378649804e-76,0.028513501977808484,0.0644019973205045
