method,k,config,repeats,sigma_over_mu,fit_p,r68,r90
current_k100__aggressive_lad,1.0,aggressive_lad,8,0.020918680689840558,1.097617564680056e-166,0.023421852449493578,0.055605481926353464
candidate_k104__aggressive_lad,1.04,aggressive_lad,8,0.021186074847547066,1.9569361520541968e-179,0.023542618377198784,0.056752044206073916
current_k100__blend_flex_aggressive,1.0,equal_weight_blend,8,0.023316051973495143,1.6706467151864235e-139,0.02547916456395753,0.05948993691919365
current_k100__flexible_l2,1.0,flexible_l2,8,0.023571140395158004,1.4180158140247906e-74,0.025078136286167486,0.0550699374036225
candidate_k104__flexible_l2,1.04,flexible_l2,8,0.023677762565444727,8.149535309704331e-85,0.02524132125642566,0.05621598016852778
current_k100__blend_lad_l2,1.0,equal_weight_blend,8,0.02451793618191521,2.573761100300413e-72,0.026386308311590147,0.05943869926751355
candidate_k104__blend_lad_l2,1.04,equal_weight_blend,8,0.024792440724528592,1.0276490456824566e-93,0.026557278210521867,0.05994905187110624
current_k100__blend_three_lad,1.0,equal_weight_blend,8,0.02552178526890537,2.279826348596832e-92,0.027908578103544274,0.0645677368919584
current_k100__flexible_lad,1.0,flexible_lad,8,0.025866484229543105,2.170762357616458e-81,0.02828382955723406,0.06531919028363956
candidate_k104__flexible_lad,1.04,flexible_lad,8,0.025977446354134393,2.6727892918895216e-78,0.028412465541648738,0.0658996608494921
current_k100__balanced_lad,1.0,balanced_lad,8,0.029918870105424017,9.913688860457074e-42,0.032899454247890675,0.072127232322685
candidate_k104__balanced_lad,1.04,balanced_lad,8,0.030437980226312,2.1083462456379109e-35,0.03320641486675955,0.07260174649636794
current_k100__balanced_l2,1.0,balanced_l2,8,0.03259372194313173,1.0701131965755832e-24,0.03491486696485767,0.07061731589941707
candidate_k104__balanced_l2,1.04,balanced_l2,8,0.03281381490161143,2.6835476197737833e-21,0.03549900618269007,0.07156463923863142
current_k100__conservative_lad,1.0,conservative_lad,8,0.036636065135878235,3.7356882274250116e-24,0.04042111237226807,0.08361522980853046
candidate_k104__conservative_lad,1.04,conservative_lad,8,0.03732300307609162,7.415449232688936e-22,0.04077843779768237,0.0846573186659271
candidate_k104,1.04,none,0,0.03789872399463238,1.818485530933155e-79,0.06845445062410813,0.13136698637182262
current_k100,1.0,none,0,0.038046339019149666,4.672608805829301e-85,0.06784395577990697,0.13056319320182233
