scheme,outer_fold,method,selected_alpha,effective_raw_beta,inner_r68,inner_r90,n,median,q05,q16,q84,q95,r68,r90,selected_family
event_random5,0,raw,1.5,57.02811968009231,0.0789487490646689,0.14821120939735927,900,0.9998351776499388,0.8918241520661535,0.9393195382251496,1.1055337277645176,1.19416043359407,0.08312079493444408,0.15119306075954564,
event_random5,0,dt_quad,1.5,57.02811968009231,0.07424693806837851,0.14258945722840766,900,1.003239319463856,0.8948447236936868,0.9404524600321188,1.0986251836590162,1.1901887929496704,0.07883100301103974,0.14719522227947526,
event_random5,0,r2_quad,0.75,28.514059840046155,0.06342587171502422,0.1224198092459744,900,1.0013322202793153,0.9001285020377092,0.9495966862689524,1.0791225411040775,1.1559589277925821,0.06467676372133246,0.12774502836007345,
event_random5,0,dt_r2_joint,0.75,28.514059840046155,0.061273175375612325,0.12397357377754903,900,1.0004798606568261,0.8987878847944587,0.9485127353451985,1.0760959522496427,1.1668100349825996,0.06376101205109935,0.13394679929498102,
event_random5,0,dt_then_r2,1.0,38.018746453394876,0.06270748750675281,0.12329013912877443,900,1.00255073344071,0.8927162577981982,0.9465244958618643,1.0763040086037194,1.143782599035423,0.06472466101364148,0.12521378363346067,
event_random5,0,r2_then_dt,1.0,38.018746453394876,0.06056763272586343,0.12075336269060455,900,1.0012703181020726,0.8988834151341396,0.948358374376351,1.0775799291189987,1.1471924301965781,0.06452880526189457,0.12399699190779624,
event_random5,0,xy_quad,1.0,38.018746453394876,0.06658220627548601,0.13002754720733636,900,1.0008480565175675,0.8993376331600039,0.9446063665731439,1.0882965355205143,1.1737076778715134,0.07178420740873381,0.13706878028328048,
event_random5,0,dt_then_xy,1.0,38.018746453394876,0.06393186327196819,0.1253985958686431,900,1.002017296822967,0.8986013696396138,0.9455450211770703,1.0818403342571967,1.1566827823694308,0.06801045925667619,0.12878091703012484,
event_random5,0,dt_r2_then_xy,0.6518363448688389,24.78200072467605,0.057374395173278955,0.11443949727265865,900,0.9976015343179261,0.8993956386729273,0.9471529227309191,1.0723612774795095,1.1299529553902181,0.06275469235028645,0.11555581501532376,
event_random5,0,nested_winner,0.6518363448688389,24.78200072467605,0.057374395173278955,0.11443949727265865,900,0.9976015343179261,0.8993956386729273,0.9471529227309191,1.0723612774795095,1.1299529553902181,0.06275469235028645,0.11555581501532376,dt_r2_then_xy
event_random5,1,raw,1.5,57.34690343175343,0.0807883681653693,0.14947630480442486,900,1.0056588078502218,0.8938834134269996,0.9385407527724141,1.0928588014601683,1.18767406662094,0.07672485314260662,0.14606875159875107,
event_random5,1,dt_quad,1.5,57.34690343175343,0.07571054535670826,0.1447282244670451,900,1.001815280818103,0.8950612017307829,0.9381941123246195,1.0849680188683182,1.175714129149299,0.07325397673303612,0.14007219334353194,
event_random5,1,r2_quad,0.75,28.673451715876716,0.06367172584545,0.12302040391670015,900,0.9971982244322346,0.8927005362397128,0.942331050653097,1.0648868854603413,1.1283965524140136,0.0614500867553303,0.11817911945666411,
event_random5,1,dt_r2_joint,0.75,28.673451715876716,0.06319689053104646,0.12721243178002914,900,0.999684124223224,0.9036957796249803,0.9491346660728728,1.0660521266979934,1.1532695984632182,0.058477201844116526,0.12482633903592405,
event_random5,1,dt_then_r2,1.0,38.23126895450229,0.0634700292053741,0.1255951203894106,900,1.000366781804361,0.8960027417325847,0.9441274120054071,1.0639587365764713,1.1290053528054949,0.05989369436824191,0.1164585906444452,
event_random5,1,r2_then_dt,1.0,38.23126895450229,0.06115098314748125,0.12240206412857592,900,1.0002176120844697,0.9027956775596969,0.9439471197412214,1.0611252691671804,1.1359095319119805,0.05857632779618722,0.11653156849861429,
event_random5,1,xy_quad,1.0,38.23126895450229,0.06848047274677382,0.12891970090896723,900,1.000137084745171,0.8950317892975467,0.9426617953126052,1.0690928090889735,1.1503411990570624,0.0632068421943289,0.127637207765657,
event_random5,1,dt_then_xy,1.0,38.23126895450229,0.06569120856711716,0.12711259231312927,900,1.0013776977453377,0.8963585073531443,0.9429786193601937,1.0628906752177423,1.1440756911466667,0.059873540287315084,0.12368818696046091,
event_random5,1,dt_r2_then_xy,0.42489062049196813,16.244107588273796,0.0592181997594011,0.1150042739157386,900,0.998596373887908,0.8917984938810828,0.9448212947192253,1.0524711811297094,1.1181370201858774,0.05390059949414946,0.11332833376090397,
event_random5,1,nested_winner,0.42489062049196813,16.244107588273796,0.0592181997594011,0.1150042739157386,900,0.998596373887908,0.8917984938810828,0.9448212947192253,1.0524711811297094,1.1181370201858774,0.05390059949414946,0.11332833376090397,dt_r2_then_xy
event_random5,2,raw,1.5,57.09005871414619,0.07849106267034302,0.14803217380243144,900,1.0010202760954459,0.8791264162510289,0.9327124954970866,1.103713110773097,1.1829726133829472,0.0854131626299375,0.15176825304532943,
event_random5,2,dt_quad,1.5,57.09005871414619,0.07350288713311717,0.14133410190176843,900,1.001274358568717,0.8826179815212937,0.9361103912538943,1.098711396200121,1.1861679057343595,0.08119702834428842,0.1515817925503349,
event_random5,2,r2_quad,0.75,28.545029357073094,0.0625983345136982,0.12144883277546219,900,1.001024688106635,0.8887841616383337,0.9410547473320208,1.077487234424875,1.147288690303482,0.0681464147257478,0.12911995664866704,
event_random5,2,dt_r2_joint,0.75,28.545029357073094,0.060508029939816195,0.12375853646057003,900,1.001069207573552,0.8882766983181277,0.9423204812964007,1.0725176842963402,1.1483515013832175,0.06502907192376782,0.12989851305858952,
event_random5,2,dt_then_r2,1.0,38.060039142764126,0.060588565374496424,0.12232521973841441,900,0.9997458542840341,0.8810639067619831,0.93704645351238,1.078752000726998,1.1419849711862005,0.07087078511373276,0.13049369662606675,
event_random5,2,r2_then_dt,1.0,38.060039142764126,0.05920310764116339,0.12034968547504217,900,1.000761595627461,0.8875076019926097,0.9406743766212555,1.0760455174818488,1.1414968282989502,0.06763406062545689,0.12689796821544366,
event_random5,2,xy_quad,1.0,38.060039142764126,0.06583757734943883,0.12827107085342737,900,1.0008276829677873,0.885428944400477,0.9340212337647351,1.0850974455616464,1.1656874243617188,0.0754756360000555,0.14001335331282105,
event_random5,2,dt_then_xy,1.0,38.060039142764126,0.06280555552742945,0.12505948522375504,900,0.9994001432186028,0.884922592202968,0.9359475446789037,1.0817874164739716,1.1535998824723268,0.07296370366997622,0.1344192774498082,
event_random5,2,dt_r2_then_xy,0.6518363448688389,24.808916800384306,0.05670968241546459,0.1137568595746104,900,1.0030269056370305,0.8890664812075402,0.9397839659327338,1.0707402563232888,1.1356001390505606,0.06528054713915357,0.12289483784407801,
event_random5,2,nested_winner,0.6518363448688389,24.808916800384306,0.05670968241546459,0.1137568595746104,900,1.0030269056370305,0.8890664812075402,0.9397839659327338,1.0707402563232888,1.1356001390505606,0.06528054713915357,0.12289483784407801,dt_r2_then_xy
event_random5,3,raw,1.5,57.26681577653204,0.08057603600117476,0.14928871290593632,900,0.9966766834464177,0.8906082001552863,0.9399747023787626,1.0940511030929105,1.183300313836496,0.07729507636386443,0.14683403281247978,
event_random5,3,dt_quad,1.5,57.26681577653204,0.07628051380795792,0.14537356775130547,900,0.9977779470115872,0.8894846899536394,0.9415560228106041,1.0808993269412333,1.1625342285912434,0.06982681093923342,0.1368288101853754,
event_random5,3,r2_quad,0.75,28.63340788826602,0.06417699505206982,0.12363095710573853,900,0.9956567023218242,0.8992004904729882,0.9437014351728175,1.0666519629932016,1.1454365931573696,0.06174343402383039,0.1236551223479792,
event_random5,3,dt_r2_joint,0.75,28.63340788826602,0.06253026786432968,0.12803196904044115,900,0.9985314238516463,0.9109446053059562,0.9445632115595032,1.0676047950494296,1.1500048859044916,0.061611272590359145,0.11970593758401989,
event_random5,3,dt_then_r2,1.0,38.1778771843547,0.06385629131763777,0.12421436450978991,900,0.9969332358161445,0.8900724070073475,0.9405404821466405,1.0576201422281737,1.1395930575974877,0.058719910158118706,0.12514411277795795,
event_random5,3,r2_then_dt,1.0,38.1778771843547,0.06221833638236187,0.1212824144627281,900,0.9962765268888364,0.8978330857443103,0.9452982893857481,1.0577467289998437,1.141006131342056,0.05643435159776802,0.12204093895352751,
event_random5,3,xy_quad,1.0,38.1778771843547,0.06879857102890984,0.13048606612537197,900,0.9982845605919095,0.894144579352644,0.9434205494472143,1.0714529474576588,1.1523139910638178,0.06412620362200669,0.12930652336148438,
event_random5,3,dt_then_xy,1.0,38.1778771843547,0.06584161054191899,0.1277917562034123,900,0.9999800412496911,0.885635475195598,0.9402707230467667,1.0680806884996952,1.1383257654940764,0.06390625821551513,0.12634766689077476,
event_random5,3,dt_r2_then_xy,0.42489062049196813,16.22142192592662,0.058154357240092894,0.11514286896844156,900,0.9963862869013362,0.891303965227143,0.9384197427872102,1.0557816462051626,1.1265118710786952,0.058893776922069256,0.11803048122180897,
event_random5,3,nested_winner,0.42489062049196813,16.22142192592662,0.058154357240092894,0.11514286896844156,900,0.9963862869013362,0.891303965227143,0.9384197427872102,1.0557816462051626,1.1265118710786952,0.058893776922069256,0.11803048122180897,dt_r2_then_xy
event_random5,4,raw,1.5,57.23643979643782,0.0806738594262986,0.14891556176361273,900,0.9987819633109958,0.8832673914880603,0.932968456726971,1.0865935648469298,1.1788163285455753,0.07690622866811009,0.14795468276066995,
event_random5,4,dt_quad,1.5,57.23643979643782,0.0754996169428558,0.1438877355170113,900,0.9965126538840361,0.8913121596503072,0.936858367374874,1.081741714248492,1.1737534912738241,0.07269518671384476,0.14171487462937152,
event_random5,4,r2_quad,0.75,28.61821989821891,0.06382672892453674,0.1246897212876583,900,1.0022771730507918,0.8979417592652515,0.9407025824052965,1.06633971006731,1.1339996197474755,0.06267584009700213,0.11776076859243279,
event_random5,4,dt_r2_joint,0.6518363448688389,24.87252780681025,0.061982563142108614,0.1246573953501462,900,0.9988814007487219,0.8983606592050289,0.9423217825334168,1.065377331565306,1.1409034721264741,0.06159667651217228,0.12140721247769991,
event_random5,4,dt_then_r2,0.75,28.61821989821891,0.0632334151843027,0.12457169556766377,900,1.0006291868630182,0.8759618888419914,0.9331226298507032,1.0558216228489063,1.1200166425413374,0.061310920473380194,0.1219506471045782,
event_random5,4,r2_then_dt,1.0,38.157626530958545,0.061939188362763624,0.1225615271805087,900,1.0002429747433386,0.8956861749682601,0.9422809157527244,1.0568529396776727,1.1291371758965862,0.057272096289577704,0.11669714600506416,
event_random5,4,xy_quad,1.0,38.157626530958545,0.06815223022885078,0.13011133634934563,900,0.9999583176212172,0.8924868314486191,0.9432225819925696,1.0689237467020711,1.1560416204159147,0.06285320222573365,0.13178288750788203,
event_random5,4,dt_then_xy,1.0,38.157626530958545,0.06544763698006276,0.12790341191146418,900,0.9981298324085714,0.8876421006143773,0.9394306434054965,1.0631243161749864,1.1425829451775469,0.06196271705004878,0.12770926000076355,
event_random5,4,dt_r2_then_xy,0.42489062049196813,16.21281761323976,0.059086920377577935,0.11512796691498295,900,1.0018256520289044,0.8819386784379553,0.9415914538408712,1.0518371043192494,1.1105034429728817,0.05502237353131652,0.11407412261406738,
event_random5,4,nested_winner,0.42489062049196813,16.21281761323976,0.059086920377577935,0.11512796691498295,900,1.0018256520289044,0.8819386784379553,0.9415914538408712,1.0518371043192494,1.1105034429728817,0.05502237353131652,0.11407412261406738,dt_r2_then_xy
