scheme,outer_fold,method,complexity,alpha,inner_r68,inner_r90,inner_n
event_random5,0,raw,0,1.5,0.0789487490646689,0.14821120939735927,3600
event_random5,0,dt_quad,3,1.5,0.07424693806837851,0.14258945722840766,3600
event_random5,0,r2_quad,3,0.75,0.06342587171502422,0.1224198092459744,3600
event_random5,0,dt_r2_joint,6,0.75,0.061273175375612325,0.12397357377754903,3600
event_random5,0,dt_then_r2,6,1.0,0.06270748750675281,0.12329013912877443,3600
event_random5,0,r2_then_dt,6,1.0,0.06056763272586343,0.12075336269060455,3600
event_random5,0,xy_quad,6,1.0,0.06658220627548601,0.13002754720733636,3600
event_random5,0,dt_then_xy,9,1.0,0.06393186327196819,0.1253985958686431,3600
event_random5,0,dt_r2_then_xy,12,0.6518363448688389,0.057374395173278955,0.11443949727265865,3600
event_random5,1,raw,0,1.5,0.0807883681653693,0.14947630480442486,3600
event_random5,1,dt_quad,3,1.5,0.07571054535670826,0.1447282244670451,3600
event_random5,1,r2_quad,3,0.75,0.06367172584545,0.12302040391670015,3600
event_random5,1,dt_r2_joint,6,0.75,0.06319689053104646,0.12721243178002914,3600
event_random5,1,dt_then_r2,6,1.0,0.0634700292053741,0.1255951203894106,3600
event_random5,1,r2_then_dt,6,1.0,0.06115098314748125,0.12240206412857592,3600
event_random5,1,xy_quad,6,1.0,0.06848047274677382,0.12891970090896723,3600
event_random5,1,dt_then_xy,9,1.0,0.06569120856711716,0.12711259231312927,3600
event_random5,1,dt_r2_then_xy,12,0.42489062049196813,0.0592181997594011,0.1150042739157386,3600
event_random5,2,raw,0,1.5,0.07849106267034302,0.14803217380243144,3600
event_random5,2,dt_quad,3,1.5,0.07350288713311717,0.14133410190176843,3600
event_random5,2,r2_quad,3,0.75,0.0625983345136982,0.12144883277546219,3600
event_random5,2,dt_r2_joint,6,0.75,0.060508029939816195,0.12375853646057003,3600
event_random5,2,dt_then_r2,6,1.0,0.060588565374496424,0.12232521973841441,3600
event_random5,2,r2_then_dt,6,1.0,0.05920310764116339,0.12034968547504217,3600
event_random5,2,xy_quad,6,1.0,0.06583757734943883,0.12827107085342737,3600
event_random5,2,dt_then_xy,9,1.0,0.06280555552742945,0.12505948522375504,3600
event_random5,2,dt_r2_then_xy,12,0.6518363448688389,0.05670968241546459,0.1137568595746104,3600
event_random5,3,raw,0,1.5,0.08057603600117476,0.14928871290593632,3600
event_random5,3,dt_quad,3,1.5,0.07628051380795792,0.14537356775130547,3600
event_random5,3,r2_quad,3,0.75,0.06417699505206982,0.12363095710573853,3600
event_random5,3,dt_r2_joint,6,0.75,0.06253026786432968,0.12803196904044115,3600
event_random5,3,dt_then_r2,6,1.0,0.06385629131763777,0.12421436450978991,3600
event_random5,3,r2_then_dt,6,1.0,0.06221833638236187,0.1212824144627281,3600
event_random5,3,xy_quad,6,1.0,0.06879857102890984,0.13048606612537197,3600
event_random5,3,dt_then_xy,9,1.0,0.06584161054191899,0.1277917562034123,3600
event_random5,3,dt_r2_then_xy,12,0.42489062049196813,0.058154357240092894,0.11514286896844156,3600
event_random5,4,raw,0,1.5,0.0806738594262986,0.14891556176361273,3600
event_random5,4,dt_quad,3,1.5,0.0754996169428558,0.1438877355170113,3600
event_random5,4,r2_quad,3,0.75,0.06382672892453674,0.1246897212876583,3600
event_random5,4,dt_r2_joint,6,0.6518363448688389,0.061982563142108614,0.1246573953501462,3600
event_random5,4,dt_then_r2,6,0.75,0.0632334151843027,0.12457169556766377,3600
event_random5,4,r2_then_dt,6,1.0,0.061939188362763624,0.1225615271805087,3600
event_random5,4,xy_quad,6,1.0,0.06815223022885078,0.13011133634934563,3600
event_random5,4,dt_then_xy,9,1.0,0.06544763698006276,0.12790341191146418,3600
event_random5,4,dt_r2_then_xy,12,0.42489062049196813,0.059086920377577935,0.11512796691498295,3600
