scheme,candidate,outer_fold,inner_validation_fold,alpha,train_scale,validation_r68,validation_r90,validation_tail_beyond_2r68
event_random5,A0_raw,0,1,0.1,1.002819980286552,0.14321408151177767,0.2682765368144224,0.08333333333333333
event_random5,A0_raw,0,1,0.15000000000000002,1.0047020488071456,0.1330890143991048,0.24215621216159805,0.08333333333333333
event_random5,A0_raw,0,1,0.2,1.0048581216813361,0.12230961810074276,0.22057284919110526,0.07888888888888888
event_random5,A0_raw,0,1,0.25,1.017367464179375,0.11226372778214633,0.20243141558490396,0.07666666666666666
event_random5,A0_raw,0,1,0.30000000000000004,1.0144748259890688,0.10136208355056159,0.18321208709848513,0.07222222222222222
event_random5,A0_raw,0,1,0.35,1.011085218215261,0.09682154981655117,0.16503633856268618,0.057777777777777775
event_random5,A0_raw,0,1,0.4,1.014087084833292,0.08908598162478842,0.15508664330908084,0.06333333333333334
event_random5,A0_raw,0,1,0.45000000000000007,1.0134223937975844,0.08373987804180627,0.1423488675045731,0.06
event_random5,A0_raw,0,1,0.5,1.0140714044933001,0.07822018733299452,0.14271141370375395,0.07222222222222222
event_random5,A0_raw,0,1,0.55,1.012250351601791,0.0757205257512088,0.14344133793931885,0.07666666666666666
event_random5,A0_raw,0,1,0.6,1.0101311561628208,0.07684030958194188,0.14731960398686794,0.09
event_random5,A0_raw,0,1,0.65,1.0082287278729942,0.08326018546912584,0.153772636515641,0.08222222222222222
event_random5,A0_raw,0,1,0.7000000000000001,1.0052024665832002,0.09364745034643229,0.16254821755192106,0.07444444444444444
event_random5,A0_raw,0,1,0.75,1.0028308214084456,0.10462481599342804,0.17499239332217587,0.07333333333333333
event_random5,A0_raw,0,1,0.8,0.9966775492132811,0.11526426756526881,0.19546020306008965,0.07
event_random5,A0_raw,0,1,0.85,0.9951635693444809,0.12911217073483972,0.21245504714111646,0.06888888888888889
event_random5,A0_raw,0,1,0.9,0.990302664477404,0.14365661492634274,0.23425190810411095,0.06333333333333334
event_random5,A0_raw,1,2,0.1,1.0057622007102243,0.16031393867685884,0.2981629549666414,0.08
event_random5,A0_raw,1,2,0.15000000000000002,1.02104236045977,0.1463829338990114,0.27203186770591936,0.08
event_random5,A0_raw,1,2,0.2,1.020006913563119,0.13581468394239737,0.2504683440690289,0.07666666666666666
event_random5,A0_raw,1,2,0.25,1.0255557672640774,0.1234276378085653,0.227266148215636,0.07777777777777778
event_random5,A0_raw,1,2,0.30000000000000004,1.026377000774731,0.11168833217656932,0.20658391661267977,0.07777777777777778
event_random5,A0_raw,1,2,0.35,1.0272324812195635,0.1035020189618222,0.1852872436122413,0.07
event_random5,A0_raw,1,2,0.4,1.0267378358076957,0.09534863820543105,0.17309001747593067,0.07222222222222222
event_random5,A0_raw,1,2,0.45000000000000007,1.0296192850011276,0.09252641834727832,0.1621937337339347,0.06111111111111111
event_random5,A0_raw,1,2,0.5,1.0311018226023525,0.08613161913004835,0.15758653759630897,0.07555555555555556
event_random5,A0_raw,1,2,0.55,1.0290290950819043,0.0850780079345761,0.1514075190156931,0.06666666666666667
event_random5,A0_raw,1,2,0.6,1.0267356866752158,0.08601334202146332,0.15247592918403347,0.07111111111111111
event_random5,A0_raw,1,2,0.65,1.0239076070373438,0.08693770628387337,0.16204566340189192,0.08333333333333333
event_random5,A0_raw,1,2,0.7000000000000001,1.021125697358406,0.0946302111144981,0.17556828874525765,0.08222222222222222
event_random5,A0_raw,1,2,0.75,1.0162097111088235,0.10814390410414237,0.1889139440111831,0.07444444444444444
event_random5,A0_raw,1,2,0.8,1.011937814662519,0.12118162197508764,0.20569992836160694,0.06777777777777778
event_random5,A0_raw,1,2,0.85,1.0077339237690146,0.13687626486249593,0.2242725351864474,0.06111111111111111
event_random5,A0_raw,1,2,0.9,1.006091495635539,0.1513620666377607,0.24666485170311125,0.056666666666666664
event_random5,A0_raw,2,3,0.1,1.0107734008910108,0.1512067351616131,0.28143593477044787,0.07777777777777778
event_random5,A0_raw,2,3,0.15000000000000002,1.0283354472088495,0.13641366501323937,0.25790461362731204,0.0811111111111111
event_random5,A0_raw,2,3,0.2,1.0193540423733347,0.12218216015120925,0.23362518162921614,0.08444444444444445
event_random5,A0_raw,2,3,0.25,1.0243299902260472,0.11231650685604727,0.21184713601747795,0.08333333333333333
event_random5,A0_raw,2,3,0.30000000000000004,1.0251639952066158,0.10080761375890851,0.19083946495695436,0.08444444444444445
event_random5,A0_raw,2,3,0.35,1.029498607637315,0.09327445286404829,0.17276711414984247,0.07111111111111111
event_random5,A0_raw,2,3,0.4,1.0318638534252567,0.08533316914952466,0.16353468059893844,0.07888888888888888
event_random5,A0_raw,2,3,0.45000000000000007,1.0332728632885284,0.07966857310970876,0.14940709295574045,0.08
event_random5,A0_raw,2,3,0.5,1.03679650323049,0.07705030440923266,0.14607003351097664,0.08444444444444445
event_random5,A0_raw,2,3,0.55,1.034758258423155,0.07400431101766308,0.14247554396621737,0.09555555555555556
event_random5,A0_raw,2,3,0.6,1.0324133770146213,0.07746493567931872,0.14719887813957727,0.09222222222222222
event_random5,A0_raw,2,3,0.65,1.0280502082231013,0.08255204649028358,0.15215494403218194,0.08333333333333333
event_random5,A0_raw,2,3,0.7000000000000001,1.0213948599683953,0.09040592506028533,0.1586712945894091,0.07666666666666666
event_random5,A0_raw,2,3,0.75,1.0191726880956016,0.10187296238926152,0.17267964107646494,0.07222222222222222
event_random5,A0_raw,2,3,0.8,1.0151089009280803,0.11393443094394268,0.1836923061859655,0.06555555555555556
event_random5,A0_raw,2,3,0.85,1.0101587324971262,0.1259499144743751,0.2055756621822749,0.06444444444444444
event_random5,A0_raw,2,3,0.9,1.0052291855256448,0.14158856160003025,0.2308385879703314,0.057777777777777775
event_random5,A0_raw,3,4,0.1,0.9996137827790226,0.15264481831901489,0.29576031002124115,0.09333333333333334
event_random5,A0_raw,3,4,0.15000000000000002,0.9935670138136339,0.13857567592448644,0.2647570293206571,0.08888888888888889
event_random5,A0_raw,3,4,0.2,0.9961490570275604,0.12396291488529654,0.23931495092974298,0.09111111111111111
event_random5,A0_raw,3,4,0.25,0.9967842819685373,0.11437492570862973,0.2155085422174811,0.08555555555555555
event_random5,A0_raw,3,4,0.30000000000000004,0.9952646419455331,0.10363591353112206,0.1911727060401175,0.08555555555555555
event_random5,A0_raw,3,4,0.35,1.012503797105158,0.09779380617419486,0.169535332841325,0.07111111111111111
event_random5,A0_raw,3,4,0.4,1.0055183842375026,0.09148263650777955,0.1572539705323906,0.06222222222222222
event_random5,A0_raw,3,4,0.45000000000000007,1.011790891093696,0.08524468391483653,0.1469678501079869,0.06333333333333334
event_random5,A0_raw,3,4,0.5,1.0130444688860853,0.07904492803062663,0.14153012556232675,0.07111111111111111
event_random5,A0_raw,3,4,0.55,1.0132123502414943,0.07515976667861746,0.14507024280066183,0.08666666666666667
event_random5,A0_raw,3,4,0.6,1.0136275861499502,0.07880413347872278,0.15091839332218215,0.08888888888888889
event_random5,A0_raw,3,4,0.65,1.0147254977161393,0.08233902441587743,0.15892059126564112,0.09888888888888889
event_random5,A0_raw,3,4,0.7000000000000001,1.0071681133510892,0.0906138543263394,0.1744639773488577,0.09777777777777778
event_random5,A0_raw,3,4,0.75,1.0033023380243253,0.10340993457621933,0.19123505469714014,0.09
event_random5,A0_raw,3,4,0.8,1.0066531062858743,0.11675410190604835,0.20664950342593957,0.08333333333333333
event_random5,A0_raw,3,4,0.85,1.0109260859543248,0.13087321420223086,0.22870314789055896,0.07666666666666666
event_random5,A0_raw,3,4,0.9,0.9996405427249108,0.14709980669596356,0.2553639974081542,0.06888888888888889
event_random5,A0_raw,4,0,0.1,0.9998451501291874,0.1605958665886984,0.27671567342965975,0.06555555555555556
event_random5,A0_raw,4,0,0.15000000000000002,1.0025601778969049,0.14701129751649483,0.2612150020930221,0.06777777777777778
event_random5,A0_raw,4,0,0.2,1.0082129388573753,0.13023619817393361,0.23720665786505113,0.07444444444444444
event_random5,A0_raw,4,0,0.25,1.0078973450458295,0.11577109122856821,0.21019031682654887,0.07444444444444444
event_random5,A0_raw,4,0,0.30000000000000004,1.00723151069802,0.10394248385791044,0.19400024933032,0.0811111111111111
event_random5,A0_raw,4,0,0.35,1.0121893013948995,0.0937094198048411,0.18151626725295572,0.08666666666666667
event_random5,A0_raw,4,0,0.4,1.0145952085314325,0.08613989077589551,0.16775115706486482,0.08444444444444445
event_random5,A0_raw,4,0,0.45000000000000007,1.0180259384095385,0.08226478814387855,0.1592812173590185,0.08
event_random5,A0_raw,4,0,0.5,1.0198303947505887,0.08036934176891486,0.1566182923999107,0.08222222222222222
event_random5,A0_raw,4,0,0.55,1.0197364003634992,0.08046277419313863,0.14738484282015907,0.0811111111111111
event_random5,A0_raw,4,0,0.6,1.0190293758007911,0.0842304015769465,0.15189726834168227,0.07333333333333333
event_random5,A0_raw,4,0,0.65,1.0182006042566565,0.08915204408160249,0.16014844522636235,0.07444444444444444
event_random5,A0_raw,4,0,0.7000000000000001,1.0174501575924395,0.09832760461405887,0.1733003621740547,0.06777777777777778
event_random5,A0_raw,4,0,0.75,1.0132914014514633,0.10814414934602223,0.19003990927228298,0.07333333333333333
event_random5,A0_raw,4,0,0.8,1.0097002988142998,0.11996871319881225,0.2075401224058423,0.06888888888888889
event_random5,A0_raw,4,0,0.85,1.0135264350305129,0.13575131619672082,0.2262501318466682,0.06222222222222222
event_random5,A0_raw,4,0,0.9,1.0056233115903013,0.14979315970514773,0.2503377712115858,0.057777777777777775
event_random5,A1_s2_lifetime,0,1,0.1,1.0057613164520671,0.10689083839332836,0.19531070120272337,0.08
event_random5,A1_s2_lifetime,0,1,0.15000000000000002,1.0157486704553345,0.10065665032041682,0.18464115663377273,0.08
event_random5,A1_s2_lifetime,0,1,0.2,1.0149657614643472,0.0968582223327068,0.17952505428655596,0.07888888888888888
event_random5,A1_s2_lifetime,0,1,0.25,1.0138185795219816,0.09537143631018874,0.17269494062826585,0.07111111111111111
event_random5,A1_s2_lifetime,0,1,0.30000000000000004,1.0153977376784802,0.09289544553342655,0.1709877307054109,0.07555555555555556
event_random5,A1_s2_lifetime,0,1,0.35,1.0129602960893038,0.09108477353772326,0.16620793813562484,0.07222222222222222
event_random5,A1_s2_lifetime,0,1,0.4,1.0107072617228003,0.09256129793206602,0.16650752919967127,0.06333333333333334
event_random5,A1_s2_lifetime,0,1,0.45000000000000007,1.0023841819975137,0.09439890017491148,0.16448764303293478,0.06333333333333334
event_random5,A1_s2_lifetime,0,1,0.5,0.9984215844982188,0.0972530843030428,0.16710874976179213,0.06333333333333334
