block,file_min,file_max,events,median_energy_ratio,applied_fraction,near_cap_fraction,ood_fraction
0,0,100,9723,1.000782097321561,0.3859919777846344,0.0,0.06572045664918236
1,101,203,9751,1.000782097321561,0.3958568351963901,0.0,0.06501897241308584
2,204,303,9695,1.000782097321561,0.38720990201134603,0.0,0.06147498710675606
3,304,404,9734,1.000782097321561,0.400965687281693,0.0,0.06636531744401068
4,405,504,9762,1.000782097321561,0.39510346240524485,0.0,0.0641262036467937
5,505,603,9693,1.000782097321561,0.3858454554833385,0.0,0.06272567832456412
6,604,701,9766,1.000782097321561,0.3878763055498669,0.0,0.061540036862584475
7,702,800,9679,1.000782097321561,0.3903295795020147,0.0,0.06415952061163344
8,801,898,9690,1.000782097321561,0.38534571723426214,0.0,0.06449948400412797
9,899,999,9702,1.000782097321561,0.3877551020408163,0.0,0.06307977736549165
