model_id,feature_set,features,feature_count,alpha,cap,calibration_base_sigma,calibration_oof_sigma,relative_sigma_improvement,calibration_base_r68,calibration_oof_r68,relative_r68_improvement,calibration_base_r90,calibration_oof_r90,relative_r90_improvement,calibration_protocol_successes,calibration_center_bias_max,background_applied,background_ood,background_strong,background_near_cap,background_energy_trend,background_rank_corr,background_spike_growth,background_2600_spike_growth,background_median_scale_shift,background_ratio_q01,background_ratio_q99,time_ratio_span,time_applied_fraction_span,time_supported_blocks,safety_pass_count,safe
S10_corrected_position_a3000_c75,S10_corrected_position,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,4,3000.0,0.0075,0.04178090146749322,0.041660389341621196,0.002884383094648779,0.06774135758272384,0.0677468961288547,-8.176018799299634e-05,0.1312197664911172,0.13083147272635196,0.0029591103165963473,12,0.1568882453789917,0.6960440351869952,0.005247183497093472,0.29947013735274447,0.0,0.004635811869174275,0.9999676699168484,1.0993788819875776,0.9995421245421245,0.0,0.9934007774300845,1.0067218998085532,0.00022231302991904123,0.01507018992568121,10,16,True
S01_M06_reference_a1000_c25,S01_M06_reference,dt|wS2CDF_max,2,1000.0,0.0025,0.04178090146749322,0.04166268293908018,0.0028294872599868848,0.06774135758272384,0.06777750435145811,-0.0005335997096032052,0.1312197664911172,0.13117228744255305,0.0003618284793042159,12,0.1571452617666217,0.23134934924636041,0.0006790472760944493,0.7682596841401307,0.0,0.0009628363500832994,0.9999983338858605,1.0613756613756613,0.9969278033794163,0.0,0.9978202951271355,1.0022044688359628,0.00025911521009569505,0.019405450041288186,10,16,True
S02_top_xy_a3000_c75,S02_top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,4,3000.0,0.0075,0.04178090146749322,0.04172116678901412,0.0014297125332629612,0.06774135758272384,0.06767660545301969,0.000955872926300283,0.1312197664911172,0.13081991907771584,0.0030471583976520167,12,0.15658053349901613,0.7449663048510726,0.0006893358711867895,0.25344925150470704,0.0,0.0048063905076585235,0.999966356529016,0.9568037741412354,0.9306547619047619,0.0,0.9933860249522408,1.006708066639096,0.00024044153155999837,0.010914726695523957,10,16,True
S01_M06_reference_a3000_c75,S01_M06_reference,dt|wS2CDF_max,2,3000.0,0.0075,0.04178090146749322,0.041725609448543,0.0013233802289603913,0.06774135758272384,0.06774601582924807,-6.876517817833161e-05,0.1312197664911172,0.13065829384733604,0.004278872450357185,12,0.15650083263919734,0.7498430989248418,0.0006790472760944493,0.24858274602603014,0.0,0.004566408013286786,0.9999661545653414,1.0676190476190477,1.0676190476190477,0.0,0.9933924727459753,1.0067106813635402,0.0002713595817804837,0.014217952475582663,10,16,True
S02_top_xy_a100_c25,S02_top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,4,100.0,0.0025,0.04178090146749322,0.04156348831403349,0.005203649175183123,0.06774135758272384,0.0677060454422975,0.0005212789009022556,0.1312197664911172,0.1310705880693106,0.00113685937565422,12,0.15878564173717202,0.13734245588764854,0.0006893358711867895,0.8624723494006893,0.0,0.001043508241860295,0.9999989410393609,1.0535714285714286,1.0535714285714286,0.0,0.9978792155467738,1.0021547908274147,0.0003117838488697622,0.012090315159852927,10,15,False
S08_s2_shape_a1000_c25,S08_s2_shape,dt|wS2CDF_max|wS2FWHM_max|tDiffBottomTopS2_max,4,1000.0,0.0025,0.04178090146749322,0.04167256127684066,0.002593055363749208,0.06774135758272384,0.06772237752866762,0.0002801841405827288,0.1312197664911172,0.13170826614559214,-0.0037227596690474485,12,0.15747139475312733,0.21131745460157417,0.009053963681259323,0.7878388806008539,0.0,0.0006916723746414933,0.9999984747463474,1.0395238095238095,0.9742703533026115,0.0,0.9978194893659543,1.0021911489857114,0.0003866722893285379,0.013831544178364963,10,15,False
S11_historical_core_a1000_c75,S11_historical_core,dt|wS2CDF_max|xS2T_max|yS2B_max,4,1000.0,0.0075,0.04178090146749322,0.04172914352448204,0.0012387943101574983,0.06774135758272384,0.06803423775951067,-0.004323506159869428,0.1312197664911172,0.13106102503286599,0.001209737393199406,12,0.15724819967910164,0.5776120170790678,0.0009979937239569937,0.4214002777920675,0.0,0.004962481034487418,0.9999685238076733,1.0405643738977073,1.0395238095238095,0.0,0.9933643034486107,1.006720432693545,0.0003527651226222783,0.017857142857142794,10,15,False
S08_s2_shape_a300_c25,S08_s2_shape,dt|wS2CDF_max|wS2FWHM_max|tDiffBottomTopS2_max,4,300.0,0.0025,0.04178090146749322,0.04175351279233304,0.0006555309770299722,0.06774135758272384,0.06774315910317256,-2.6594100162924406e-05,0.1312197664911172,0.13170712500718637,-0.003714063277975521,12,0.15740165369845371,0.1737229281341633,0.009053963681259323,0.8255980245897423,0.0,0.0007420624749455112,0.9999987381933699,1.0476190476190477,1.0476190476190477,0.0,0.9978367867946607,1.002171569308062,0.00042310447239934934,0.015070189925681265,10,15,False
S17_geometry_shape_a300_c25,S17_geometry_shape,dt|wS2CDF_max|xS2T_max|yS2T_max|xS2B_max|yS2B_max|wS2FWHM_max|tDiffBottomTopS2_max,8,300.0,0.0025,0.04178090146749322,0.04182011876075477,-0.000938641625338299,0.06774135758272384,0.06770938214942582,0.0004720223278515956,0.1312197664911172,0.13124196247126,-0.00016915119372895582,12,0.1572370564310811,0.15867071351406967,0.010432635423632902,0.8407839909460363,0.0,0.0009027581006645893,0.9999988102744516,1.019140989729225,1.000652315720809,0.0,0.9978581160943383,1.0021770494107658,0.000357890937264127,0.01291848665248091,10,15,False
S01_M06_reference_a100_c25,S01_M06_reference,dt|wS2CDF_max,2,100.0,0.0025,0.04178090146749322,0.04182545409927277,-0.0010663396483727716,0.06774135758272384,0.06774551382602627,-6.135459120892861e-05,0.1312197664911172,0.13122758027595569,-5.9547315526042865e-05,12,0.15693466275456425,0.16707649570451155,0.0006790472760944493,0.8326560008230877,0.0,0.000853224435472353,0.9999987903133535,1.0593286494925838,1.0593286494925838,0.0,0.9978511666508125,1.0021720946271209,0.0003174084212164141,0.010097677318699066,10,15,False
S02_top_xy_a300_c25,S02_top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,4,300.0,0.0025,0.04178090146749322,0.041849818395248095,-0.0016494839827354557,0.06774135758272384,0.06769910514495651,0.000623731783286674,0.1312197664911172,0.1311952907732333,0.00018652462611679077,12,0.1573212189114539,0.1653274345388137,0.0006893358711867895,0.8344256391789701,0.0,0.0011832826986997523,0.999998767176745,1.0362997658079627,1.0362997658079627,0.0,0.9978495761640884,1.0021771633581924,0.00022872259310258158,0.01570602551916206,10,15,False
S11_historical_core_a1000_c25,S11_historical_core,dt|wS2CDF_max|xS2T_max|yS2B_max,4,1000.0,0.0025,0.04178090146749322,0.041859239972077814,-0.0018749835889859678,0.06774135758272384,0.06774655251954677,-7.668781684189163e-05,0.1312197664911172,0.13120361323363797,0.0001231007942718021,12,0.15730996161352206,0.22873604609290601,0.0009979937239569937,0.7708729872935851,0.0,0.0009761728842450369,0.9999983458225542,0.9772256728778468,0.9047619047619047,0.0,0.997816986071939,1.0022027409447638,0.0002823176977888586,0.014760528488852204,10,15,False
S02_top_xy_a1000_c25,S02_top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,4,1000.0,0.0025,0.04178090146749322,0.041860475191987795,-0.0019045478125092608,0.06774135758272384,0.06775638834062418,-0.00022188450950344496,0.1312197664911172,0.13112547753031312,0.0007185576024513196,12,0.1573616334547201,0.21823139050362672,0.0006893358711867895,0.7814702402386954,0.0,0.0011052977688323958,0.9999984030584503,1.0894071914480077,0.9814090019569472,0.0,0.9978261610606112,1.0022021107779575,0.00034767986565942266,0.016743503725567876,10,15,False
