feature_set,model_id,features,feature_count,alpha,cap,dev_base_sigma,dev_new_sigma,dev_sigma_gain,dev_base_r68,dev_new_r68,dev_r68_gain,dev_base_r90,dev_new_r90,dev_r90_gain,dev_protocol_successes,dev_center_bias_max,hold_base_sigma,hold_new_sigma,hold_sigma_gain,hold_base_r68,hold_new_r68,hold_r68_gain,hold_base_r90,hold_new_r90,hold_r90_gain,hold_protocol_successes,hold_center_bias_max,background_applied,background_ood,background_strong,background_near_cap,background_energy_trend,background_rank_corr,background_spike_growth,background_2600_spike_growth,background_median_scale_shift,time_ratio_span,time_applied_fraction_span,time_supported_blocks,safety_pass_count,safe
A01_plus_qS2channelStdevTo1_max,A01_plus_qS2channelStdevTo1_max_a3000_c50,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2channelStdevTo1_max,5,3000.0,0.005,0.04237804561569755,0.04229883592129309,0.0018691209859644786,0.06841353944679428,0.06854580744886772,-0.0019333600211739466,0.13139431589248823,0.13151272745954853,-0.0009011924622157608,12,0.15754939413478608,0.04199252184928828,0.04349296756110266,-0.03573125989430914,0.06542480619034491,0.06507667662202545,0.005321063807306126,0.13005254847924436,0.13105399798389053,-0.007700345101703254,12,0.15781922325004938,0.3342250115746695,0.03648335819743814,0.6589433612840166,0.0,0.002889416854062628,0.999989851106162,1.0479969765684052,1.0479969765684052,0.0,0.00020338036166367424,0.013831544178365018,10,15,False
A02_plus_xS2T_max,A02_plus_xS2T_max_a3000_c75,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|xS2T_max,5,3000.0,0.0075,0.04237804561569755,0.042184311798400126,0.004571560922235207,0.06841353944679428,0.06815536493509917,0.0037737341728369955,0.13139431589248823,0.13147628025995464,-0.0006238045147515248,12,0.15649283449612394,0.04199252184928828,0.043104663296036363,-0.0264842738128368,0.06542480619034491,0.06495207559627163,0.007225555895388314,0.13005254847924436,0.12992444089454402,0.0009850447853452238,12,0.15705196391048426,0.7207057976233345,0.004928237049230928,0.27438654251761924,0.0,0.004522852262302146,0.9999679817039527,1.03015873015873,1.03015873015873,0.0,0.00022063225692670052,0.009702725020644065,10,16,True
A03_plus_yS2B_max,A03_plus_yS2B_max_a300_c75,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|yS2B_max,5,300.0,0.0075,0.04237804561569755,0.04222106679279135,0.0037042487595996265,0.06841353944679428,0.06879723468386324,-0.005608469320131704,0.13139431589248823,0.1309374556477379,0.0034770168073644525,12,0.1573111594463894,0.04199252184928828,0.04206183892689716,-0.0016507005189556612,0.06542480619034491,0.06471747487018456,0.010811362865981722,0.13005254847924436,0.1313928723609265,-0.010306017816298807,12,0.1558736943293333,0.41828283347908846,0.005699881681156438,0.5799063737846597,0.0,0.004023805013462435,0.9999747366785958,1.0894071914480077,1.0230331262939958,0.0,0.00028418752752545906,0.014657308009909165,10,15,False
A04_plus_qS1channelStdevTo1_max,A04_plus_qS1channelStdevTo1_max_a10000_c50,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS1channelStdevTo1_max,5,10000.0,0.005,0.04237804561569755,0.042423492205336436,-0.0010724088140121601,0.06841353944679428,0.06745701801757865,0.01398146385861998,0.13139431589248823,0.12935612827267592,0.01551199232606093,12,0.1557780748237192,0.04199252184928828,0.04379351024460189,-0.04288831239470148,0.06542480619034491,0.06447940091669267,0.01445025715325321,0.13005254847924436,0.12704171917965795,0.02315086735933447,12,0.1567411545191041,0.5738875456556407,0.018365142239827152,0.4244457019394002,0.0,0.005903786412078861,0.9999883433318869,0.9588057445200303,0.9588057445200303,0.0,0.000153106320478269,0.018786127167630062,10,15,False
A05_plus_qS2hitStdevTo1_max,A05_plus_qS2hitStdevTo1_max_a300_c75,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2hitStdevTo1_max,5,300.0,0.0075,0.04237804561569755,0.042081241742788184,0.007003717811833843,0.06841353944679428,0.06842859794858124,-0.00022010996520172021,0.13139431589248823,0.13078279214490465,0.004654111126724536,12,0.1573253478223009,0.04199252184928828,0.04228901720273116,-0.007060670338090436,0.06542480619034491,0.06443404797750157,0.015143464238332682,0.13005254847924436,0.13110985396575683,-0.008129832893518651,12,0.15880500644067097,0.3342970317403159,0.02851998559596687,0.6578116158238593,0.0,0.0048711495800532936,0.9999775867368633,1.012735326688815,1.012735326688815,0.0,0.00039407717611106285,0.016136432224681363,10,16,True
A06_plus_rmsCogS1T_max,A06_plus_rmsCogS1T_max_a10000_c50,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|rmsCogS1T_max,5,10000.0,0.005,0.04237804561569755,0.04252559260452293,-0.0034816846006398006,0.06841353944679428,0.06804488775215309,0.005388578015728784,0.13139431589248823,0.13034590491041098,0.007979119758385167,12,0.15651425851150447,0.04199252184928828,0.04276489643773734,-0.01839314607541609,0.06542480619034491,0.06510128417432423,0.004944944201736412,0.13005254847924436,0.12941288002077686,0.004918538436558095,12,0.15490394622286496,0.6344256391789701,0.00513400895107773,0.3610988219558619,0.0,0.0025208040161932383,0.9999851195457187,1.068840579710145,0.9208994708994709,0.0,0.00019369302806238053,0.0153798513625103,10,15,False
A07_plus_wS2FWHM_max,A07_plus_wS2FWHM_max_a300_c75,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|wS2FWHM_max,5,300.0,0.0075,0.04237804561569755,0.042108838767946,0.006352507385376738,0.06841353944679428,0.06877990861503286,-0.005355214350859727,0.13139431589248823,0.13095604853806156,0.0033355122818652383,12,0.15739181526192303,0.04199252184928828,0.04125675932436683,0.017521275039449113,0.06542480619034491,0.06417681311706847,0.019075227668929884,0.13005254847924436,0.1311984162998206,-0.008810806354626166,12,0.1559483782989297,0.4254334070682648,0.013313442049488143,0.5714079942383867,0.0,0.0040578016936789005,0.999974399325514,1.0535714285714286,1.0535714285714286,0.0,0.00040795873207688516,0.009805945499587132,10,15,False
A08_plus_tDiffBottomTopS2_max,A08_plus_tDiffBottomTopS2_max_a3000_c75,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|tDiffBottomTopS2_max,5,3000.0,0.0075,0.04237804561569755,0.04220993082798827,0.0039670255026346135,0.06841353944679428,0.06827451733139535,0.0020320848259436364,0.13139431589248823,0.13148902776280524,-0.000720821670813443,12,0.15658375277730352,0.04199252184928828,0.04334269696382771,-0.032152751372857,0.06542480619034491,0.06517939077952214,0.0037511064245074888,0.13005254847924436,0.12996178980556297,0.0006978615547534872,12,0.1568825574971524,0.7218375430834919,0.005998250938834302,0.2727918102783065,0.0,0.004439899979442354,0.9999675003726913,1.0656814449917897,1.0656814449917897,0.0,0.00018797288241012566,0.012873678588239623,10,16,True
A09_plus_nPMTS2_max,A09_plus_nPMTS2_max_a3000_c75,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|nPMTS2_max,5,3000.0,0.0075,0.04237804561569755,0.04217698896181042,0.004744358805745752,0.06841353944679428,0.06821359234769626,0.002922624683868502,0.13139431589248823,0.13146127547186814,-0.0005096078846720253,12,0.1565050195539851,0.04199252184928828,0.04320984069671362,-0.02898894359796511,0.06542480619034491,0.06492795574080208,0.007594221190312833,0.13005254847924436,0.1298984800967112,0.0011846625409093203,12,0.1571531816964673,0.70217603786203,0.0054220896136632545,0.2926282216163383,0.0,0.00468912869959584,0.9999681836555993,1.019140989729225,0.9516129032258064,0.0,0.00023573593154946337,0.01503915666578226,10,16,True
B04_S10,B04_S10_a3000_c75,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,4,3000.0,0.0075,0.04237804561569755,0.04217813883314053,0.004717225149311055,0.06841353944679428,0.06822321348864649,0.0027819925658985056,0.13139431589248823,0.13142556568918456,-0.00023783218082207291,12,0.15654691481424254,0.04199252184928828,0.042701321330360656,-0.016879183479769688,0.06542480619034491,0.06493819537496837,0.007437711224712151,0.13005254847924436,0.12988238727290746,0.0013084034748004347,12,0.15706475357079708,0.7266526055867072,0.004928237049230928,0.26839858017387724,0.0,0.004523212220773851,0.9999678249432825,1.0759878419452888,1.0081232492997199,0.0,0.00021718604590748036,0.012592898431048716,10,16,True
G02_plus_s2_shape,G02_plus_s2_shape_a300_c75,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|wS2FWHM_max|tDiffBottomTopS2_max,6,300.0,0.0075,0.04237804561569755,0.04192978443633698,0.010577674662621273,0.06841353944679428,0.06864876444672584,-0.0034382813962505754,0.13139431589248823,0.13081797976471826,0.004386309437019675,12,0.15714370488811058,0.04199252184928828,0.042982583094038844,-0.0235770847081751,0.06542480619034491,0.06495152956066316,0.0072339018980783765,0.13005254847924436,0.13108757166382487,-0.007958499827057874,12,0.15667467133559154,0.4163074232213591,0.014527496270384278,0.5799886825453984,0.0,0.003869132914234147,0.999974852561886,1.0993788819875776,1.0993788819875776,0.0,0.0003604323213723948,0.014906213291158488,10,15,False
G03_plus_topology,G03_plus_topology_a10000_c50,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|nPMTS2_max|rmsCogS1T_max,6,10000.0,0.005,0.04237804561569755,0.04250144613452224,-0.0029118973523163394,0.06841353944679428,0.06811134837543999,0.004417123771081943,0.13139431589248823,0.13037006984471974,0.00779520819307411,12,0.15651382059373276,0.04199252184928828,0.04289897396521765,-0.021586036656303653,0.06542480619034491,0.06508490129009172,0.005195352039168211,0.13005254847924436,0.1294020572233752,0.005001757085698166,12,0.1548612601669106,0.6390246411852462,0.005627861515510057,0.3553474972992438,0.0,0.003590643762750295,0.9999846717947772,0.9833333333333333,0.9737554112554113,0.0,0.00019451078338028616,0.01857968620974404,10,15,False
G05_plus_top5,G05_plus_top5_a10000_c25,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2channelStdevTo1_max|xS2T_max|yS2B_max|qS1channelStdevTo1_max|qS2hitStdevTo1_max,9,10000.0,0.0025,0.04237804561569755,0.04247650849982163,-0.002323440892413542,0.06841353944679428,0.06819379265805783,0.0032120365429615383,0.13139431589248823,0.13096351381833943,0.0032786964277914388,12,0.1574015947332853,0.04199252184928828,0.04203669078373844,-0.0010518285757801227,0.06542480619034491,0.06552525517133224,-0.001535334788689946,0.13005254847924436,0.12952193733111506,0.0040799750126694345,12,0.15892951664753796,0.19063737846597048,0.13216729255620144,0.8012346314110809,0.0,0.002899222232184236,0.9999982895301507,1.0593286494925838,1.0593286494925838,0.0,0.00017803764426127522,0.019011669613672233,10,15,False
P01_plus_pair,P01_plus_pair_a300_c75,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2channelStdevTo1_max|xS2T_max,6,300.0,0.0075,0.04237804561569755,0.04232733274377867,0.0011966779303312913,0.06841353944679428,0.06871696518546602,-0.0044351708905183695,0.13139431589248823,0.13014403156239915,0.00951551306916587,12,0.1570256633807715,0.04199252184928828,0.04288389511542676,-0.021226952487817252,0.06542480619034491,0.06495315423332053,0.007209069227536835,0.13005254847924436,0.1306968014908997,-0.004953789980964407,12,0.15575050055547468,0.23366428314213694,0.03648335819743814,0.7615412315448326,0.0,0.003532631186933134,0.9999822058415784,1.032069970845481,1.032069970845481,0.0,0.0005305258626544518,0.008797423146392869,10,15,False
P02_plus_pair,P02_plus_pair_a3000_c50,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2channelStdevTo1_max|yS2B_max,6,3000.0,0.005,0.04237804561569755,0.042309807516344916,0.0016102228963422727,0.06841353944679428,0.06833396260171805,0.001163173923169336,0.13139431589248823,0.13114540342324627,0.0018943929769811296,12,0.1573929549718046,0.04199252184928828,0.043783394408564505,-0.04264741626386925,0.06542480619034491,0.06486145313083785,0.008610695121786915,0.13005254847924436,0.13113745791883724,-0.00834208519770785,12,0.15728896323885977,0.33293893718812695,0.03822213076804362,0.658984515664386,0.0,0.002696595510715976,0.999989955371927,1.03015873015873,1.03015873015873,0.0,0.00023372577961366936,0.014794384891172407,10,16,True
P03_plus_pair,P03_plus_pair_a10000_c25,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2channelStdevTo1_max|qS1channelStdevTo1_max,6,10000.0,0.0025,0.04237804561569755,0.04266254143476646,-0.006713283138369164,0.06841353944679428,0.06802201958238202,0.005722841817250912,0.13139431589248823,0.1305612849684295,0.00633993120935572,12,0.15694266668531198,0.04199252184928828,0.04149080689942134,0.011947721350663465,0.06542480619034491,0.06469135477309276,0.011210601298814127,0.13005254847924436,0.12911053027658267,0.007243365959968218,12,0.15858102123090556,0.2535109830752611,0.08133134420494881,0.7445753382375636,0.0,0.0031189642167899325,0.9999978992571772,1.060197663971249,0.9625220458553793,0.0,0.00015882049678483945,0.017263366759055487,10,15,False
P04_plus_pair,P04_plus_pair_a300_c75,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2channelStdevTo1_max|qS2hitStdevTo1_max,6,300.0,0.0075,0.04237804561569755,0.042302443601061626,0.0017839901188817509,0.06841353944679428,0.06842838292915358,-0.00021696702844686833,0.13139431589248823,0.13003055173801065,0.010379171619520178,12,0.1569187236372298,0.04199252184928828,0.04303505327073073,-0.024826597106601733,0.06542480619034491,0.06492419084214705,0.007651766621079137,0.13005254847924436,0.13092128651709972,-0.00667990014816211,12,0.15891072760869585,0.2207109419208807,0.11567467462318021,0.7621688358454654,0.0,0.003643860453173656,0.9999827013728718,1.0535714285714286,1.0535714285714286,0.0,0.0006700807492705518,0.011147811725846418,10,16,True
P05_plus_pair,P05_plus_pair_a3000_c50,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|xS2T_max|yS2B_max,6,3000.0,0.005,0.04237804561569755,0.042232560846475566,0.0034330221488103607,0.06841353944679428,0.06831392352444392,0.0014560849088627315,0.13139431589248823,0.1316145224179331,-0.0016759212447594596,12,0.15667272504280993,0.04199252184928828,0.04257742107383713,-0.01392865202637883,0.06542480619034491,0.06472386356199943,0.010713713485160037,0.13005254847924436,0.13103158846243326,-0.0075280338189231966,12,0.1552237825220909,0.5545655640722259,0.005699881681156438,0.4416790987190699,0.0,0.0030600164609292085,0.9999865925572005,1.0911989795918369,1.0911989795918369,0.0,0.00018756998296498573,0.01393476465730803,10,16,True
P06_plus_pair,P06_plus_pair_a10000_c25,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|xS2T_max|qS1channelStdevTo1_max,6,10000.0,0.0025,0.04237804561569755,0.042712254811146905,-0.0078863758484784,0.06841353944679428,0.06811097424934053,0.004422592368416467,0.13139431589248823,0.12994411069913445,0.011037046644699622,12,0.156529875860284,0.04199252184928828,0.04366175280966248,-0.03975067194976023,0.06542480619034491,0.06548945910662998,-0.0009882018770828171,0.13005254847924436,0.12875713424292112,0.009960698590462225,12,0.15693317241016425,0.33211584958073975,0.018365142239827152,0.667153660167704,0.0,0.002757646324654761,0.9999974231869897,1.0769841269841272,1.0769841269841272,0.0,0.00017893801898560824,0.019438954882476767,10,15,False
